,steps,words,feedback,ncands
45,5,"['reais', 'grace', 'crane', 'craze', 'crate']","['YYGXX', 'XGGYG', 'GGGXG', 'GGGXG', 'GGGGG']","[22, 4, 3, 2, 2]"
46,5,"['reais', 'uncoy', 'mulch', 'pluck', 'cluck']","['XXXXX', 'YXYXX', 'XYYGX', 'XGGGG', 'GGGGG']","[168, 10, 2, 1, 1]"
47,3,"['reais', 'snipe', 'spike']","['XYXYY', 'GXGYG', 'GGGGG']","[28, 3, 3]"
48,4,"['reais', 'tonic', 'civic', 'mimic']","['XXXGX', 'XXXGG', 'YGXGG', 'GGGGG']","[40, 4, 1, 1]"
49,4,"['reais', 'uncoy', 'donut', 'pound']","['XXXXX', 'YYXYX', 'YGYYX', 'GGGGG']","[168, 9, 6, 6]"
50,4,"['reais', 'diact', 'mafia', 'maxim']","['XXYGX', 'XYYXX', 'GGXGY', 'GGGGG']","[24, 5, 1, 1]"
51,3,"['reais', 'intel', 'linen']","['XYXYX', 'YYXGY', 'GGGGG']","[74, 2, 2]"
52,5,"['reais', 'noule', 'queen', 'unwed', 'unmet']","['XYXXX', 'YXYXY', 'XYYGY', 'GGXGX', 'GGGGG']","[121, 4, 3, 1, 1]"
53,3,"['reais', 'stole', 'flesh']","['XYXXY', 'YXXYY', 'GGGGG']","[67, 1, 1]"
54,6,"['reais', 'uncoy', 'goldy', 'boozy', 'booty', 'booby']","['XXXXX', 'XXXYG', 'XGXXG', 'GGGXG', 'GGGXG', 'GGGGG']","[168, 30, 7, 2, 1, 1]"
55,5,"['reais', 'court', 'north', 'worth', 'forth']","['YXXXX', 'XGXYY', 'XGGGG', 'XGGGG', 'GGGGG']","[103, 5, 2, 1, 1]"
56,3,"['reais', 'skirt', 'first']","['YXXYY', 'YXYYG', 'GGGGG']","[12, 1, 1]"
57,5,"['reais', 'halts', 'coast', 'staff', 'stand']","['XXGXY', 'XYXYY', 'XXGYY', 'GGGXX', 'GGGGG']","[50, 9, 4, 3, 3]"
58,6,"['reais', 'blent', 'belch', 'below', 'belle', 'belly']","['XGXXX', 'GYYXX', 'GGGXX', 'GGGXX', 'GGGGY', 'GGGGG']","[61, 6, 3, 2, 1, 1]"
59,3,"['reais', 'intro', 'ivory']","['YXXYX', 'GXXGY', 'GGGGG']","[41, 1, 1]"
60,3,"['reais', 'zesty', 'seedy']","['XGXXY', 'XGYXG', 'GGGGG']","[15, 1, 1]"
61,3,"['reais', 'intro', 'print']","['YXXYX', 'YYYYX', 'GGGGG']","[41, 1, 1]"
62,2,"['reais', 'yearn']","['YGGXX', 'GGGGG']","[8, 8]"
63,5,"['reais', 'train', 'brain', 'grain', 'drain']","['YXGGX', 'XGGGG', 'XGGGG', 'XGGGG', 'GGGGG']","[11, 3, 2, 1, 1]"
64,6,"['reais', 'fired', 'tripe', 'crime', 'urine', 'bribe']","['YYXYX', 'XYYYX', 'XGGXG', 'XGGXG', 'XGGXG', 'GGGGG']","[53, 15, 5, 3, 1, 1]"
65,5,"['reais', 'tousy', 'snout', 'scout', 'stout']","['XXXXY', 'YYYYX', 'GXGGG', 'GXGGG', 'GGGGG']","[89, 6, 4, 3, 3]"
66,4,"['reais', 'leant', 'glean', 'panel']","['XYYXX', 'YYYYX', 'XYYYY', 'GGGGG']","[90, 7, 3, 3]"
67,4,"['reais', 'grass', 'brass', 'crass']","['YXGXG', 'XGGGG', 'XGGGG', 'GGGGG']","[3, 2, 1, 1]"
68,4,"['reais', 'noule', 'flute', 'flume']","['XYXXX', 'XXGYG', 'GGGXG', 'GGGGG']","[121, 5, 2, 2]"
69,4,"['reais', 'tolan', 'cloak', 'offal']","['XXYXX', 'XYYGX', 'XYYGX', 'GGGGG']","[150, 2, 1, 1]"
70,4,"['reais', 'grate', 'large', 'agree']","['YYYXX', 'YYYXG', 'XYGYG', 'GGGGG']","[57, 3, 1, 1]"
71,4,"['reais', 'outre', 'cower', 'error']","['YYXXX', 'YXXYY', 'XYXYG', 'GGGGG']","[108, 18, 1, 1]"
72,3,"['reais', 'skirt', 'swirl']","['YXXYY', 'GXGGX', 'GGGGG']","[12, 1, 1]"
73,3,"['reais', 'grate', 'argue']","['YYYXX', 'YGYXG', 'GGGGG']","[57, 1, 1]"
74,4,"['reais', 'noule', 'cleft', 'bleed']","['XYXXX', 'XXXYY', 'XGGXX', 'GGGGG']","[121, 10, 3, 3]"
75,2,"['reais', 'delta']","['XGYXX', 'GGGGG']","[19, 19]"
76,4,"['reais', 'linty', 'child', 'flick']","['XXXYX', 'YYXXX', 'YXGYX', 'GGGGG']","[118, 12, 1, 1]"
77,4,"['reais', 'noule', 'comet', 'totem']","['XYXXX', 'XGXXY', 'XGYGY', 'GGGGG']","[121, 7, 1, 1]"
78,4,"['reais', 'outre', 'cower', 'wooer']","['YYXXX', 'YXXYY', 'XGYGG', 'GGGGG']","[108, 18, 1, 1]"
79,3,"['reais', 'court', 'front']","['YXXXX', 'XYXYG', 'GGGGG']","[103, 1, 1]"
80,3,"['reais', 'sutor', 'shrub']","['YXXXY', 'GYXXY', 'GGGGG']","[32, 7, 7]"
81,4,"['reais', 'molar', 'party', 'parry']","['YXYXX', 'XXXYY', 'GGGXG', 'GGGGG']","[60, 10, 1, 1]"
82,4,"['reais', 'intel', 'chide', 'biome']","['XYXYX', 'YXXYX', 'XXYXG', 'GGGGG']","[74, 12, 2, 2]"
83,4,"['reais', 'leant', 'label', 'lapel']","['XYYXX', 'GYYXX', 'GGXGG', 'GGGGG']","[90, 3, 1, 1]"
84,3,"['reais', 'trash', 'start']","['YXGXY', 'YYGYX', 'GGGGG']","[15, 3, 3]"
85,4,"['reais', 'outre', 'crept', 'greet']","['YYXXX', 'XXYYY', 'XGGXG', 'GGGGG']","[108, 7, 1, 1]"
86,8,"['reais', 'outre', 'cower', 'hover', 'boxer', 'poker', 'foyer', 'goner']","['YYXXX', 'YXXYY', 'XGXGG', 'XGXGG', 'XGXGG', 'XGXGG', 'XGXGG', 'GGGGG']","[108, 18, 9, 5, 4, 2, 1, 1]"
87,4,"['reais', 'noule', 'towel', 'golem']","['XYXXX', 'XGXYY', 'XGXGY', 'GGGGG']","[121, 9, 1, 1]"
88,5,"['reais', 'tousy', 'dusty', 'gusty', 'lusty']","['XXXXY', 'YXYYG', 'XGGGG', 'XGGGG', 'GGGGG']","[89, 4, 3, 2, 2]"
89,7,"['reais', 'uncoy', 'goldy', 'lofty', 'lobby', 'lowly', 'loopy']","['XXXXX', 'XXXYG', 'XGYXG', 'GGXXG', 'GGXXG', 'GGXYG', 'GGGGG']","[168, 30, 6, 3, 2, 1, 1]"
90,2,"['reais', 'round']","['GXXXX', 'GGGGG']","[10, 10]"
91,3,"['reais', 'diact', 'audit']","['XXYGX', 'YYYXG', 'GGGGG']","[24, 2, 2]"
92,3,"['reais', 'linty', 'lying']","['XXXYX', 'GYYXY', 'GGGGG']","[118, 1, 1]"
93,4,"['reais', 'tolan', 'gaudy', 'gamma']","['XXYXX', 'XXXYX', 'GGXXX', 'GGGGG']","[150, 16, 1, 1]"
94,3,"['reais', 'molar', 'labor']","['YXYXX', 'XYYYG', 'GGGGG']","[60, 1, 1]"
95,3,"['reais', 'snipe', 'islet']","['XYXYY', 'YXYXY', 'GGGGG']","[28, 1, 1]"
96,3,"['reais', 'tonic', 'civic']","['XXXGX', 'XXXGG', 'GGGGG']","[40, 4, 4]"
97,5,"['reais', 'outre', 'prone', 'force', 'forge']","['YYXXX', 'YXXYG', 'XYYXG', 'GGGXG', 'GGGGG']","[108, 16, 4, 1, 1]"
98,4,"['reais', 'court', 'color', 'corny']","['YXXXX', 'GGXYX', 'GGXYY', 'GGGGG']","[103, 2, 1, 1]"
99,5,"['reais', 'uncoy', 'ought', 'doubt', 'moult']","['XXXXX', 'YXXYX', 'YYXXG', 'XGGXG', 'GGGGG']","[168, 16, 3, 1, 1]"
100,3,"['reais', 'basin', 'basic']","['XXYGY', 'GGGGX', 'GGGGG']","[4, 2, 2]"
101,5,"['reais', 'slaty', 'salon', 'salsa', 'salad']","['XXYXY', 'GYYXX', 'GGGXX', 'GGGYY', 'GGGGG']","[37, 5, 2, 1, 1]"
102,3,"['reais', 'aglet', 'agate']","['XYGXX', 'GGXYY', 'GGGGG']","[26, 1, 1]"
103,3,"['reais', 'tiyns', 'spicy']","['XXXYY', 'XYYXY', 'GGGGG']","[53, 3, 3]"
104,3,"['reais', 'stray', 'spray']","['YXYXY', 'GXGGG', 'GGGGG']","[15, 1, 1]"
105,3,"['reais', 'saute', 'essay']","['XYYXY', 'YYXXY', 'GGGGG']","[28, 3, 3]"
106,4,"['reais', 'court', 'glory', 'fjord']","['YXXXX', 'XYXGX', 'XXGGX', 'GGGGG']","[103, 3, 1, 1]"
107,3,"['reais', 'stole', 'spend']","['XYXXY', 'GXXXY', 'GGGGG']","[67, 6, 6]"
108,4,"['reais', 'delta', 'began', 'kebab']","['XGYXX', 'XGXXY', 'YGXGX', 'GGGGG']","[19, 4, 1, 1]"
109,5,"['reais', 'linty', 'child', 'build', 'guild']","['XXXYX', 'YYXXX', 'XXGGG', 'XGGGG', 'GGGGG']","[118, 12, 2, 1, 1]"
110,5,"['reais', 'clank', 'quack', 'whack', 'aback']","['XXGXX', 'YXGXG', 'XXGGG', 'XXGGG', 'GGGGG']","[33, 3, 2, 1, 1]"
111,4,"['reais', 'court', 'north', 'motor']","['YXXXX', 'XGXYY', 'XGYYX', 'GGGGG']","[103, 5, 1, 1]"
112,3,"['reais', 'leant', 'alone']","['XYYXX', 'YYYGX', 'GGGGG']","[90, 1, 1]"
113,8,"['reais', 'tolan', 'yacht', 'watch', 'match', 'patch', 'catch', 'hatch']","['XXYXX', 'YXXYX', 'XGYYY', 'XGGGG', 'XGGGG', 'XGGGG', 'YGGGG', 'GGGGG']","[150, 14, 6, 5, 4, 3, 2, 2]"
114,4,"['reais', 'outre', 'cyber', 'hyper']","['YYXXX', 'XXXYY', 'XGXGG', 'GGGGG']","[108, 17, 1, 1]"
115,4,"['reais', 'uncoy', 'plumb', 'thumb']","['XXXXX', 'YXXXX', 'XXGGG', 'GGGGG']","[168, 7, 1, 1]"
116,4,"['reais', 'court', 'worry', 'dowry']","['YXXXX', 'XGXGX', 'YGYGG', 'GGGGG']","[103, 3, 1, 1]"
117,3,"['reais', 'uncoy', 'ought']","['XXXXX', 'YXXYX', 'GGGGG']","[168, 16, 16]"
118,3,"['reais', 'blent', 'belch']","['XGXXX', 'GYYXX', 'GGGGG']","[61, 6, 6]"
119,4,"['reais', 'uncoy', 'mulch', 'dutch']","['XXXXX', 'YXYXX', 'XGXGG', 'GGGGG']","[168, 10, 3, 3]"
120,3,"['reais', 'linty', 'pilot']","['XXXYX', 'YGXYX', 'GGGGG']","[118, 1, 1]"
121,3,"['reais', 'noule', 'tweed']","['XYXXX', 'XXXXY', 'GGGGG']","[121, 8, 8]"
122,3,"['reais', 'noule', 'comet']","['XYXXX', 'XGXXY', 'GGGGG']","[121, 7, 7]"
123,3,"['reais', 'tolan', 'jaunt']","['XXYXX', 'YXXYY', 'GGGGG']","[150, 7, 7]"
124,4,"['reais', 'leant', 'canoe', 'enema']","['XYYXX', 'XYYYX', 'XYYXY', 'GGGGG']","[90, 12, 2, 2]"
125,4,"['reais', 'stole', 'steep', 'steed']","['XYXXY', 'GGXXY', 'GGGGX', 'GGGGG']","[67, 2, 1, 1]"
126,2,"['reais', 'abyss']","['XXYXG', 'GGGGG']","[1, 1]"
127,4,"['reais', 'court', 'drown', 'growl']","['YXXXX', 'XYXYX', 'XGGGX', 'GGGGG']","[103, 19, 2, 2]"
128,4,"['reais', 'linty', 'blind', 'fling']","['XXXYX', 'YYYXX', 'XGGGX', 'GGGGG']","[118, 5, 3, 3]"
129,4,"['reais', 'noule', 'money', 'dozen']","['XYXXX', 'YGXXY', 'XGYGX', 'GGGGG']","[121, 9, 5, 5]"
130,4,"['reais', 'uncoy', 'goldy', 'boozy']","['XXXXX', 'XXXYG', 'XGXXG', 'GGGGG']","[168, 30, 7, 7]"
131,6,"['reais', 'outre', 'prone', 'broke', 'grove', 'erode']","['YYXXX', 'YXXYG', 'XGGXG', 'XGGXG', 'XGGXG', 'GGGGG']","[108, 16, 5, 4, 2, 2]"
132,4,"['reais', 'court', 'horny', 'world']","['YXXXX', 'XGXYX', 'XGGXX', 'GGGGG']","[103, 8, 2, 2]"
133,4,"['reais', 'noule', 'coupe', 'gouge']","['XYXXX', 'XGGXG', 'XGGXG', 'GGGGG']","[121, 2, 1, 1]"
134,6,"['reais', 'linty', 'child', 'cliff', 'climb', 'click']","['XXXYX', 'YYXXX', 'GXGYX', 'GGGXX', 'GGGXX', 'GGGGG']","[118, 12, 3, 2, 1, 1]"
135,4,"['reais', 'vicar', 'friar', 'briar']","['YXYYX', 'XYXGG', 'XGGGG', 'GGGGG']","[12, 2, 1, 1]"
136,3,"['reais', 'grate', 'great']","['YYYXX', 'GGYYY', 'GGGGG']","[57, 1, 1]"
137,4,"['reais', 'molar', 'lunar', 'altar']","['YXYXX', 'XXYGG', 'YXXGG', 'GGGGG']","[60, 2, 1, 1]"
138,4,"['reais', 'uncoy', 'plumy', 'pulpy']","['XXXXX', 'YXXXG', 'GYYXG', 'GGGGG']","[168, 21, 1, 1]"
139,3,"['reais', 'court', 'blurt']","['YXXXX', 'XXGGG', 'GGGGG']","[103, 1, 1]"
140,3,"['reais', 'halts', 'coast']","['XXGXY', 'XYXYY', 'GGGGG']","[50, 9, 9]"
141,3,"['reais', 'uncoy', 'duchy']","['XXXXX', 'YXGXG', 'GGGGG']","[168, 3, 3]"
142,4,"['reais', 'curio', 'orbit', 'groin']","['YXXGX', 'XXYGY', 'YGXGX', 'GGGGG']","[10, 4, 1, 1]"
