,steps,words,feedback,ncands
45,3,"['tores', 'cater', 'crate']","['YXYYX', 'GYYYY', 'GGGGG']","[23, 1, 1]"
46,5,"['tores', 'layin', 'bluff', 'clump', 'cluck']","['XXXXX', 'YXXXX', 'XGGXX', 'GGGXX', 'GGGGG']","[246, 9, 4, 1, 1]"
47,3,"['tores', 'aisle', 'spike']","['XXXYY', 'XYYXG', 'GGGGG']","[72, 9, 9]"
48,4,"['tores', 'layin', 'civic', 'mimic']","['XXXXX', 'XXXGX', 'YGXGG', 'GGGGG']","[246, 6, 1, 1]"
49,6,"['tores', 'godly', 'found', 'bound', 'mound', 'pound']","['XGXXX', 'XGYXX', 'XGGGG', 'XGGGG', 'XGGGG', 'GGGGG']","[79, 8, 5, 4, 3, 3]"
50,5,"['tores', 'layin', 'magic', 'mafia', 'maxim']","['XXXXX', 'XGXGX', 'GGXGX', 'GGXGY', 'GGGGG']","[246, 4, 2, 1, 1]"
51,3,"['tores', 'aline', 'linen']","['XXXGX', 'XYYYY', 'GGGGG']","[55, 2, 2]"
52,4,"['tores', 'valet', 'quiet', 'unmet']","['YXXGX', 'XXXGG', 'XYXGG', 'GGGGG']","[13, 3, 1, 1]"
53,4,"['tores', 'aisle', 'welsh', 'flesh']","['XXXYY', 'XXYYY', 'XYYGG', 'GGGGG']","[72, 2, 1, 1]"
54,4,"['tores', 'godly', 'bobby', 'booby']","['XGXXX', 'XGXXG', 'GGYGG', 'GGGGG']","[79, 8, 1, 1]"
55,4,"['tores', 'north', 'worth', 'forth']","['YGGXX', 'XGGGG', 'XGGGG', 'GGGGG']","[5, 2, 1, 1]"
56,2,"['tores', 'first']","['YXGXY', 'GGGGG']","[7, 7]"
57,3,"['tores', 'stain', 'stand']","['YXXXY', 'GGGXY', 'GGGGG']","[58, 2, 2]"
58,4,"['tores', 'liane', 'welch', 'belly']","['XXXYX', 'YXXXY', 'XGGXX', 'GGGGG']","[196, 9, 2, 2]"
59,3,"['tores', 'andro', 'ivory']","['XYYXX', 'XXXGY', 'GGGGG']","[74, 2, 2]"
60,4,"['tores', 'aisle', 'spend', 'seedy']","['XXXYY', 'XXYXY', 'GXGXY', 'GGGGG']","[72, 3, 1, 1]"
61,4,"['tores', 'afrit', 'right', 'print']","['YXYXX', 'XXYYG', 'YYXXG', 'GGGGG']","[21, 2, 1, 1]"
62,6,"['tores', 'acred', 'blaer', 'frame', 'weary', 'yearn']","['XXYYX', 'YXYYX', 'XXGYY', 'XYGXY', 'XGGGY', 'GGGGG']","[93, 27, 7, 2, 1, 1]"
63,3,"['tores', 'dinar', 'drain']","['XXYXX', 'GYYYY', 'GGGGG']","[97, 1, 1]"
64,6,"['tores', 'acred', 'urine', 'prize', 'grime', 'bribe']","['XXYYX', 'XXYYX', 'XGGXG', 'XGGXG', 'XGGXG', 'GGGGG']","[93, 22, 5, 2, 1, 1]"
65,4,"['tores', 'scout', 'snout', 'stout']","['YYXXY', 'GXGGG', 'GXGGG', 'GGGGG']","[17, 4, 3, 3]"
66,3,"['tores', 'aline', 'panel']","['XXXGX', 'YYXYY', 'GGGGG']","[55, 3, 3]"
67,4,"['tores', 'grass', 'brass', 'crass']","['XXYXG', 'XGGGG', 'XGGGG', 'GGGGG']","[3, 2, 1, 1]"
68,5,"['tores', 'liane', 'cycle', 'plume', 'flume']","['XXXYX', 'YXXXG', 'XXXYG', 'XGGGG', 'GGGGG']","[196, 9, 6, 1, 1]"
69,3,"['tores', 'aloin', 'offal']","['XYXXX', 'YYYXX', 'GGGGG']","[66, 1, 1]"
70,2,"['tores', 'agree']","['XXGGX', 'GGGGG']","[6, 6]"
71,2,"['tores', 'error']","['XYGYX', 'GGGGG']","[2, 2]"
72,3,"['tores', 'sharp', 'swirl']","['XXYXY', 'GXXGX', 'GGGGG']","[26, 2, 2]"
73,4,"['tores', 'acred', 'arena', 'argue']","['XXYYX', 'GXYYX', 'GGYXY', 'GGGGG']","[93, 5, 1, 1]"
74,3,"['tores', 'aline', 'bleed']","['XXXGX', 'XGXXY', 'GGGGG']","[55, 3, 3]"
75,3,"['tores', 'telia', 'delta']","['YXXYX', 'YGGXG', 'GGGGG']","[69, 1, 1]"
76,4,"['tores', 'layin', 'child', 'flick']","['XXXXX', 'YXXYX', 'YXGYX', 'GGGGG']","[246, 11, 1, 1]"
77,3,"['tores', 'token', 'totem']","['GGXGX', 'GGXGX', 'GGGGG']","[3, 2, 2]"
78,3,"['tores', 'mower', 'wooer']","['XGYGX', 'XGYGG', 'GGGGG']","[19, 1, 1]"
79,3,"['tores', 'actor', 'front']","['YYYXX', 'XXYYY', 'GGGGG']","[10, 6, 6]"
80,3,"['tores', 'scrap', 'shrub']","['XXGXY', 'GXGXX', 'GGGGG']","[12, 3, 3]"
81,5,"['tores', 'lycra', 'harry', 'marry', 'parry']","['XXGXX', 'XYXGY', 'XGGGG', 'XGGGG', 'GGGGG']","[29, 3, 2, 1, 1]"
82,4,"['tores', 'clone', 'above', 'biome']","['XYXYX', 'XXGXG', 'XYGXG', 'GGGGG']","[45, 7, 1, 1]"
83,4,"['tores', 'aline', 'label', 'lapel']","['XXXGX', 'YYXXY', 'GGXGG', 'GGGGG']","[55, 6, 1, 1]"
