count,mean,std,min,25%,50%,75%,max,word,iter_2_or_less,iter_3,iter_4,iter_5,iter_6,fail
2315.0,4.808639308855292,1.390831071362659,2.0,4.0,5.0,5.0,13.0,aeros,0.011663066954643628,0.11879049676025918,0.3485961123110151,0.2790496760259179,0.1287257019438445,0.11317494600431965
2315.0,4.790928725701944,1.398976274561042,2.0,4.0,5.0,5.0,12.0,aesir,0.012095032397408207,0.12311015118790497,0.34989200863930886,0.27645788336933047,0.13390928725701945,0.10453563714902808
2315.0,4.761123110151188,1.362369478640996,2.0,4.0,5.0,5.0,13.0,aloes,0.009935205183585313,0.1304535637149028,0.3511879049676026,0.2755939524838013,0.12915766738660908,0.10367170626349892
2315.0,4.7460043196544275,1.3253480063456018,2.0,4.0,5.0,5.0,11.0,rales,0.009503239740820735,0.12829373650107992,0.3494600431965443,0.28250539956803455,0.13952483801295895,0.09071274298056156
2315.0,4.762419006479481,1.3706597174999562,2.0,4.0,5.0,5.0,14.0,stoae,0.014254859611231102,0.11663066954643629,0.36285097192224625,0.28077753779697623,0.1205183585313175,0.10496760259179265
2315.0,4.683369330453564,1.3464171411838368,2.0,4.0,4.0,5.0,12.0,arets,0.012526997840172787,0.1429805615550756,0.3654427645788337,0.25961123110151185,0.12742980561555076,0.09200863930885529
2315.0,4.746868250539957,1.3643923419440587,1.0,4.0,5.0,5.0,11.0,aisle,0.013390928725701945,0.13520518358531317,0.3408207343412527,0.27732181425485963,0.1326133909287257,0.10064794816414686
2315.0,4.758099352051836,1.374941758356205,2.0,4.0,4.0,5.0,12.0,aeons,0.01079913606911447,0.126133909287257,0.36414686825053993,0.26868250539956806,0.12397408207343412,0.1062634989200864
2315.0,4.771058315334773,1.3837338953500509,2.0,4.0,5.0,5.0,13.0,nears,0.01079913606911447,0.1330453563714903,0.33779697624190064,0.28682505399568037,0.13002159827213822,0.10151187904967603
2315.0,4.709719222462203,1.3743752124149757,2.0,4.0,4.0,5.0,12.0,saine,0.015982721382289417,0.13477321814254858,0.3593952483801296,0.26954643628509717,0.12138228941684666,0.09892008639308855
2315.0,4.738228941684665,1.32415997061174,2.0,4.0,5.0,5.0,11.0,notes,0.009071274298056155,0.13477321814254858,0.3447084233261339,0.28509719222462204,0.13131749460043196,0.09503239740820735
2315.0,4.742548596112311,1.3667490659215502,1.0,4.0,5.0,5.0,12.0,resin,0.013390928725701945,0.1287257019438445,0.35377969762419004,0.27429805615550756,0.13347732181425487,0.09632829373650108
2315.0,4.665226781857451,1.3212495650373284,2.0,4.0,4.0,5.0,12.0,tares,0.013390928725701945,0.14427645788336932,0.3593952483801296,0.26954643628509717,0.12829373650107992,0.08509719222462203
2315.0,4.739524838012959,1.3776731660096448,2.0,4.0,5.0,5.0,12.0,senor,0.012958963282937365,0.1326133909287257,0.3542116630669546,0.2734341252699784,0.12699784017278617,0.09978401727861771
