count,mean,std,min,25%,50%,75%,max,word1,word2,iter_2_or_less,iter_3,iter_4,iter_5,iter_6,fail
2315.0,4.806479481641468,1.3123479140226637,2.0,4.0,5.0,5.0,11.0,notes,daily,0.00043196544276457883,0.1287257019438445,0.33390928725701946,0.3023758099352052,0.13002159827213822,0.10453563714902808
2315.0,4.825053995680346,1.3161037787907601,2.0,4.0,5.0,5.0,12.0,notes,gaily,0.00043196544276457883,0.13477321814254858,0.31317494600431967,0.30583153347732184,0.1390928725701944,0.10669546436285098
2315.0,4.813822894168466,1.354393227400403,2.0,4.0,5.0,5.0,12.0,notes,dairy,0.00043196544276457883,0.13477321814254858,0.3365010799136069,0.2855291576673866,0.1326133909287257,0.1101511879049676
2315.0,4.903239740820735,1.3864895858341608,2.0,4.0,5.0,6.0,13.0,notes,fairy,0.00043196544276457883,0.126133909287257,0.30842332613390927,0.2971922246220302,0.150755939524838,0.11706263498920086
2315.0,4.718790496760259,1.2978828271173173,2.0,4.0,5.0,5.0,11.0,notes,acrid,0.00043196544276457883,0.14643628509719223,0.3516198704103672,0.2816414686825054,0.13131749460043196,0.08855291576673865
2315.0,4.79524838012959,1.274195007826321,3.0,4.0,5.0,5.0,11.0,pares,doily,0.0,0.1326133909287257,0.31879049676025917,0.31403887688984883,0.14211663066954644,0.09244060475161987
2315.0,4.86133909287257,1.2943080378361635,3.0,4.0,5.0,6.0,12.0,pares,gouty,0.0,0.11922246220302375,0.31663066954643626,0.30367170626349893,0.1611231101511879,0.09935205183585313
2315.0,4.844924406047516,1.3319632610107348,3.0,4.0,5.0,5.5,12.0,pares,noily,0.0,0.12915766738660908,0.31663066954643626,0.3041036717062635,0.14557235421166306,0.10453563714902808
2315.0,4.622894168466523,1.2138972376144717,3.0,4.0,4.0,5.0,11.0,pares,doilt,0.0,0.15291576673866092,0.3697624190064795,0.28768898488120953,0.12138228941684666,0.06825053995680345
2315.0,4.760259179265659,1.3025378864975887,3.0,4.0,5.0,5.0,11.0,tares,doily,0.0,0.14254859611231102,0.33736501079913606,0.29071274298056154,0.1326133909287257,0.09676025917926566
2315.0,4.6414686825053995,1.2351834072203893,3.0,4.0,4.0,5.0,10.0,tares,poind,0.0,0.15377969762419005,0.36414686825053993,0.28768898488120953,0.11965442764578833,0.07473002159827213
2315.0,4.781425485961123,1.3570459070098764,3.0,4.0,5.0,5.0,12.0,tares,noily,0.0,0.14557235421166306,0.33736501079913606,0.2816414686825054,0.13088552915766738,0.10453563714902808
2315.0,4.770626349892009,1.3238067786194165,3.0,4.0,5.0,5.0,11.0,tares,piony,0.0,0.15032397408207343,0.31663066954643626,0.3045356371490281,0.13002159827213822,0.09848812095032397
2315.0,4.735205183585313,1.3357462860445641,3.0,4.0,5.0,5.0,11.0,tares,chino,0.0,0.15809935205183584,0.3334773218142549,0.28509719222462204,0.12311015118790497,0.1002159827213823
2315.0,4.834125269978402,1.343106234696312,3.0,4.0,5.0,5.0,11.0,canes,doily,0.0,0.13866090712742982,0.30885529157667385,0.3062634989200864,0.1408207343412527,0.10539956803455723
2315.0,4.87170626349892,1.4039234996437253,3.0,4.0,5.0,6.0,12.0,canes,roily,0.0,0.13822894168466524,0.31144708423326134,0.2911447084233261,0.14254859611231102,0.11663066954643629
2315.0,4.7680345572354215,1.2916249333899656,2.0,4.0,5.0,5.0,12.0,canes,pouty,0.00043196544276457883,0.1304535637149028,0.3429805615550756,0.3045356371490281,0.12786177105831534,0.0937365010799136
2315.0,4.874298056155507,1.3305175288970654,3.0,4.0,5.0,6.0,13.0,canes,gouty,0.0,0.1205183585313175,0.3161987041036717,0.3041036717062635,0.15205183585313176,0.10712742980561556
2315.0,4.791792656587473,1.2678533263944334,2.0,4.0,5.0,5.0,11.0,dares,pouty,0.00043196544276457883,0.12354211663066955,0.33779697624190064,0.30280777537796977,0.14384449244060477,0.09157667386609071
2315.0,4.884665226781857,1.3229909044488457,3.0,4.0,5.0,6.0,12.0,dares,gouty,0.0,0.11792656587473002,0.31706263498920084,0.29848812095032395,0.158963282937365,0.10755939524838012
2315.0,4.853131749460043,1.3430677346476187,3.0,4.0,5.0,6.0,12.0,dares,noily,0.0,0.1287257019438445,0.32181425485961124,0.29503239740820736,0.1429805615550756,0.11144708423326134
2315.0,4.643628509719222,1.2488531507345204,2.0,4.0,4.0,5.0,11.0,dares,point,0.00043196544276457883,0.15421166306695464,0.36630669546436284,0.2812095032397408,0.12224622030237581,0.0755939524838013
2315.0,4.821166306695464,1.3647562319291446,3.0,4.0,5.0,5.0,12.0,senor,laity,0.0,0.12786177105831534,0.34773218142548595,0.2855291576673866,0.13174946004319654,0.10712742980561556
2315.0,4.863930885529157,1.3523784593751376,2.0,4.0,5.0,6.0,12.0,senor,daily,0.00043196544276457883,0.12224622030237581,0.3287257019438445,0.29071274298056154,0.15161987041036717,0.1062634989200864
2315.0,4.90280777537797,1.3690510105918003,2.0,4.0,5.0,6.0,12.0,senor,gaily,0.00043196544276457883,0.12915766738660908,0.29028077753779696,0.31663066954643626,0.1511879049676026,0.11231101511879049
2315.0,4.914902807775378,1.3898999567804007,3.0,4.0,5.0,6.0,12.0,senor,haily,0.0,0.11922246220302375,0.3161987041036717,0.29892008639308854,0.14816414686825055,0.11749460043196544
