,steps,words,feedback,ncands
47,5,"['tores', 'sense', 'shave', 'slice', 'spike']","['XXXYY', 'GYXYG', 'GXXXG', 'GXGXG', 'GGGGG']","[72, 21, 7, 1, 1]"
48,4,"['tores', 'canny', 'mulch', 'mimic']","['XXXXX', 'YXXXX', 'GXXYX', 'GGGGG']","[246, 9, 1, 1]"
49,4,"['tores', 'wooly', 'couch', 'pound']","['XGXXX', 'XGYXX', 'XGGXX', 'GGGGG']","[79, 27, 4, 4]"
50,5,"['tores', 'canny', 'mamma', 'madam', 'maxim']","['XXXXX', 'XGXXX', 'GGYYY', 'GGXYG', 'GGGGG']","[246, 11, 2, 1, 1]"
51,3,"['tores', 'level', 'linen']","['XXXGX', 'GYXGY', 'GGGGG']","[55, 4, 4]"
52,4,"['tores', 'fleet', 'duvet', 'unmet']","['YXXGX', 'XXYGG', 'XYXGG', 'GGGGG']","[13, 5, 1, 1]"
53,3,"['tores', 'sense', 'flesh']","['XXXYY', 'YYXGY', 'GGGGG']","[72, 1, 1]"
54,4,"['tores', 'wooly', 'goody', 'booby']","['XGXXX', 'XGGXG', 'XGGXG', 'GGGGG']","[79, 5, 2, 2]"
55,2,"['tores', 'forth']","['YGGXX', 'GGGGG']","[5, 5]"
56,3,"['tores', 'strut', 'first']","['YXGXY', 'YYGXG', 'GGGGG']","[7, 1, 1]"
57,4,"['tores', 'stint', 'stank', 'stand']","['YXXXY', 'GGXGY', 'GGGGX', 'GGGGG']","[58, 4, 1, 1]"
58,3,"['tores', 'melee', 'belly']","['XXXYX', 'XGGYY', 'GGGGG']","[196, 7, 7]"
59,4,"['tores', 'brood', 'flora', 'ivory']","['XYYXX', 'XYGYX', 'XXGGX', 'GGGGG']","[74, 7, 1, 1]"
60,3,"['tores', 'sense', 'seedy']","['XXXYY', 'GGXYY', 'GGGGG']","[72, 2, 2]"
61,3,"['tores', 'trait', 'print']","['YXYXX', 'YGXYG', 'GGGGG']","[21, 2, 2]"
62,3,"['tores', 'rearm', 'yearn']","['XXYYX', 'YGGGX', 'GGGGG']","[93, 6, 6]"
