,steps,words,feedback,ncands
46,4,"['lores', 'allay', 'clink', 'cluck']","['YXXXX', 'XGYXX', 'GGXXG', 'GGGGG']","[130, 26, 1, 1]"
47,5,"['lores', 'sense', 'state', 'siege', 'spike']","['XXXYY', 'GYXYG', 'GXXXG', 'GYYXG', 'GGGGG']","[88, 22, 4, 2, 2]"
48,4,"['lores', 'canny', 'hitch', 'mimic']","['XXXXX', 'YXXXX', 'XGXYX', 'GGGGG']","[215, 12, 1, 1]"
49,5,"['lores', 'tooth', 'condo', 'mound', 'pound']","['XGXXX', 'XGYXX', 'XGYYY', 'XGGGG', 'GGGGG']","[76, 28, 8, 4, 4]"
50,5,"['lores', 'canny', 'mamma', 'madam', 'maxim']","['XXXXX', 'XGXXX', 'GGYYY', 'GGXYG', 'GGGGG']","[215, 12, 2, 1, 1]"
51,3,"['lores', 'label', 'linen']","['GXXGX', 'GXXGY', 'GGGGG']","[8, 3, 3]"
52,4,"['lores', 'eaten', 'tenet', 'unmet']","['XXXGX', 'YXYGY', 'YYYGG', 'GGGGG']","[37, 2, 1, 1]"
53,3,"['lores', 'shell', 'flesh']","['YXXYY', 'YYGYY', 'GGGGG']","[25, 1, 1]"
54,5,"['lores', 'tooth', 'goody', 'boozy', 'booby']","['XGXXX', 'XGGXX', 'XGGXG', 'GGGXG', 'GGGGG']","[76, 7, 3, 1, 1]"
55,2,"['lores', 'forth']","['XGGXX', 'GGGGG']","[17, 17]"
56,3,"['lores', 'strap', 'first']","['XXGXY', 'YYGXX', 'GGGGG']","[18, 2, 2]"
57,4,"['lores', 'sassy', 'stank', 'stand']","['XXXXY', 'GYYYX', 'GGGGX', 'GGGGG']","[122, 24, 1, 1]"
58,3,"['lores', 'belle', 'belly']","['YXXYX', 'GGGGY', 'GGGGG']","[101, 1, 1]"
59,4,"['lores', 'brood', 'acorn', 'ivory']","['XYYXX', 'XYGYX', 'XXGGX', 'GGGGG']","[78, 5, 1, 1]"
60,3,"['lores', 'sense', 'seedy']","['XXXYY', 'GGXYY', 'GGGGG']","[88, 3, 3]"
61,3,"['lores', 'trait', 'print']","['XXYXX', 'YGXYG', 'GGGGG']","[109, 2, 2]"
62,6,"['lores', 'crepe', 'rearm', 'heard', 'weary', 'yearn']","['XXYYX', 'XYYXY', 'YGGGX', 'XGGGX', 'XGGGY', 'GGGGG']","[111, 22, 6, 3, 1, 1]"
63,4,"['lores', 'trait', 'brain', 'drain']","['XXYXX', 'XGGGX', 'XGGGG', 'GGGGG']","[109, 4, 2, 2]"
64,5,"['lores', 'crepe', 'grate', 'brine', 'bribe']","['XXYYX', 'XGYXG', 'XGXXG', 'GGGXG', 'GGGGG']","[111, 21, 5, 2, 2]"
65,3,"['lores', 'shoot', 'stout']","['XYXXY', 'GXGYG', 'GGGGG']","[37, 4, 4]"
66,4,"['lores', 'level', 'expel', 'panel']","['YXXGX', 'YYXGG', 'YXYGG', 'GGGGG']","[29, 11, 1, 1]"
67,2,"['lores', 'crass']","['XXYXG', 'GGGGG']","[4, 4]"
68,4,"['lores', 'belle', 'elate', 'flume']","['YXXYX', 'XYYYG', 'YGXXG', 'GGGGG']","[101, 19, 4, 4]"
69,3,"['lores', 'aloof', 'offal']","['YYXXX', 'YYYYY', 'GGGGG']","[39, 1, 1]"
70,3,"['lores', 'rarer', 'agree']","['XXGGX', 'YYGGY', 'GGGGG']","[10, 1, 1]"
71,2,"['lores', 'error']","['XYGYX', 'GGGGG']","[2, 2]"
72,2,"['lores', 'swirl']","['YXYXY', 'GGGGG']","[3, 3]"
73,4,"['lores', 'crepe', 'grate', 'argue']","['XXYYX', 'XGYXG', 'YGYXG', 'GGGGG']","[111, 21, 1, 1]"
74,3,"['lores', 'level', 'bleed']","['YXXGX', 'YYXGY', 'GGGGG']","[29, 10, 10]"
75,3,"['lores', 'belle', 'delta']","['YXXYX', 'XGGYY', 'GGGGG']","[101, 4, 4]"
76,4,"['lores', 'allay', 'clink', 'flick']","['YXXXX', 'XGYXX', 'YGGXG', 'GGGGG']","[130, 26, 1, 1]"
77,5,"['lores', 'coven', 'gooey', 'modem', 'totem']","['XGXGX', 'XGXGX', 'XGYGX', 'YGXGG', 'GGGGG']","[16, 4, 2, 1, 1]"
78,3,"['lores', 'rower', 'wooer']","['XGYGX', 'YGYGG', 'GGGGG']","[19, 1, 1]"
79,5,"['lores', 'brood', 'grown', 'irony', 'front']","['XYYXX', 'XGGYX', 'XGGXY', 'XGGGX', 'GGGGG']","[78, 20, 3, 1, 1]"
80,3,"['lores', 'strap', 'shrub']","['XXGXY', 'GXGXX', 'GGGGG']","[18, 4, 4]"
81,4,"['lores', 'harry', 'marry', 'parry']","['XXGXX', 'XGGGG', 'XGGGG', 'GGGGG']","[29, 3, 2, 2]"
82,4,"['lores', 'ozone', 'abode', 'biome']","['XYXYX', 'YXGXG', 'XYGXG', 'GGGGG']","[35, 9, 1, 1]"
83,3,"['lores', 'label', 'lapel']","['GXXGX', 'GGXGG', 'GGGGG']","[8, 1, 1]"
84,2,"['lores', 'start']","['XXYXY', 'GGGGG']","[38, 38]"
85,5,"['lores', 'freer', 'creed', 'green', 'greet']","['XXYGX', 'XGGGY', 'XGGGX', 'GGGGX', 'GGGGG']","[93, 8, 3, 1, 1]"
86,5,"['lores', 'rower', 'hover', 'poker', 'goner']","['XGYGX', 'YGXGG', 'XGXGG', 'XGXGG', 'GGGGG']","[19, 10, 5, 3, 3]"
87,3,"['lores', 'vowel', 'golem']","['YGXGX', 'XGXGY', 'GGGGG']","[10, 1, 1]"
88,2,"['lores', 'lusty']","['GXXXY', 'GGGGG']","[1, 1]"
89,2,"['lores', 'loopy']","['GGXXX', 'GGGGG']","[10, 10]"
90,5,"['lores', 'rotor', 'roomy', 'rough', 'round']","['XGYXX', 'GGXYY', 'GGYXX', 'GGGXX', 'GGGGG']","[19, 7, 4, 1, 1]"
