steps,words,feedback,ncands
3,"['arles', 'tondi', 'unmet']","['XXXGX', 'YXYXX', 'GGGGG']","[44, 1, 1]"
3,"['arles', 'slept', 'flesh']","['XXYYY', 'YGGXX', 'GGGGG']","[19, 1, 1]"
4,"['arles', 'count', 'goody', 'booby']","['XXXXX', 'XGXXX', 'XGGXG', 'GGGGG']","[205, 14, 3, 3]"
3,"['arles', 'couth', 'forth']","['XYXXX', 'XGXGG', 'GGGGG']","[74, 3, 3]"
3,"['arles', 'shout', 'first']","['XYXXY', 'YXXXG', 'GGGGG']","[35, 1, 1]"
3,"['arles', 'scant', 'stand']","['YXXXY', 'GXGGY', 'GGGGG']","[62, 2, 2]"
3,"['arles', 'belle', 'belly']","['XXGYX', 'GGGGY', 'GGGGG']","[17, 1, 1]"
4,"['arles', 'couth', 'rigor', 'ivory']","['XYXXX', 'XYXXX', 'YYXYY', 'GGGGG']","[74, 5, 1, 1]"
4,"['arles', 'point', 'geese', 'seedy']","['XXXYY', 'XXXXX', 'XGGYY', 'GGGGG']","[67, 3, 1, 1]"
3,"['arles', 'tigon', 'print']","['XGXXX', 'YYXXY', 'GGGGG']","[65, 1, 1]"
5,"['arles', 'react', 'beard', 'weary', 'yearn']","['YYXYX', 'YGGXX', 'XGGGX', 'XGGGY', 'GGGGG']","[25, 4, 2, 1, 1]"
3,"['arles', 'diact', 'drain']","['YGXXX', 'GYGXX', 'GGGGG']","[40, 1, 1]"
4,"['arles', 'pinto', 'bride', 'bribe']","['XGXYX', 'XYXXX', 'GGGXG', 'GGGGG']","[45, 5, 1, 1]"
5,"['arles', 'point', 'scout', 'shout', 'stout']","['XXXXY', 'XYXXG', 'GXGGG', 'GXGGG', 'GGGGG']","[114, 5, 2, 1, 1]"
3,"['arles', 'bagel', 'panel']","['YXYGX', 'XGXGG', 'GGGGG']","[9, 5, 5]"
3,"['arles', 'brass', 'crass']","['YGXXG', 'XGGGG', 'GGGGG']","[3, 2, 2]"
3,"['arles', 'toile', 'flume']","['XXYYX', 'XXXYG', 'GGGGG']","[55, 6, 6]"
3,"['arles', 'tonic', 'offal']","['YXYXX', 'XYXXX', 'GGGGG']","[68, 1, 1]"
3,"['arles', 'after', 'agree']","['GYXGX', 'GXXGY', 'GGGGG']","[5, 1, 1]"
4,"['arles', 'pinto', 'drove', 'error']","['XGXYX', 'XXXXY', 'XGYXY', 'GGGGG']","[45, 6, 1, 1]"
3,"['arles', 'slurp', 'swirl']","['XYYXY', 'GYXGX', 'GGGGG']","[3, 1, 1]"
3,"['arles', 'arena', 'argue']","['GGXYX', 'GGYXY', 'GGGGG']","[2, 1, 1]"
3,"['arles', 'bidon', 'bleed']","['XXYGX', 'GXYXX', 'GGGGG']","[30, 1, 1]"
3,"['arles', 'delay', 'delta']","['YXGYX', 'GGGYX', 'GGGGG']","[7, 1, 1]"
3,"['arles', 'count', 'flick']","['XXYXX', 'YXXXX', 'GGGGG']","[91, 2, 2]"
3,"['arles', 'tondi', 'totem']","['XXXGX', 'GGXXX', 'GGGGG']","[44, 1, 1]"
4,"['arles', 'tondi', 'mower', 'wooer']","['XYXGX', 'XGXXX', 'XGYGG', 'GGGGG']","[78, 16, 1, 1]"
3,"['arles', 'tigon', 'front']","['XGXXX', 'YXXYY', 'GGGGG']","[65, 1, 1]"
3,"['arles', 'shout', 'shrub']","['XYXXY', 'GGXGX', 'GGGGG']","[35, 2, 2]"
4,"['arles', 'coati', 'harpy', 'parry']","['YYXXX', 'XXYXX', 'XGGYG', 'GGGGG']","[65, 12, 1, 1]"
4,"['arles', 'cunit', 'diode', 'biome']","['XXXYX', 'XXXYX', 'XGGXG', 'GGGGG']","[130, 6, 1, 1]"
4,"['arles', 'bagel', 'panel', 'lapel']","['YXYGX', 'XGXGG', 'YGXGG', 'GGGGG']","[9, 5, 1, 1]"
