steps,words,feedback,ncands
4,"['soare', 'lited', 'liken', 'linen']","['XXXXY', 'GGXGX', 'GGXGG', 'GGGGG']","[120, 3, 1, 1]"
4,"['soare', 'lited', 'tenet', 'unmet']","['XXXXY', 'XXYGX', 'YYYGG', 'GGGGG']","[120, 4, 1, 1]"
4,"['soare', 'guest', 'bless', 'flesh']","['YXXXY', 'XXGGX', 'XGGGY', 'GGGGG']","[19, 3, 1, 1]"
4,"['soare', 'glout', 'boozy', 'booby']","['XGXXX', 'XXGXX', 'GGGXG', 'GGGGG']","[87, 6, 1, 1]"
3,"['soare', 'derth', 'forth']","['XGXYX', 'XXGGG', 'GGGGG']","[26, 3, 3]"
3,"['soare', 'burst', 'first']","['YXXYX', 'XXGGG', 'GGGGG']","[16, 1, 1]"
4,"['soare', 'thilk', 'scant', 'stand']","['GXGXX', 'YXXXX', 'GXGGY', 'GGGGG']","[41, 4, 1, 1]"
4,"['soare', 'lited', 'belch', 'belly']","['XXXXY', 'YXXYX', 'GGGXX', 'GGGGG']","[120, 9, 1, 1]"
4,"['soare', 'chord', 'glory', 'ivory']","['XYXGX', 'XXGGX', 'XXGGG', 'GGGGG']","[8, 2, 1, 1]"
4,"['soare', 'clept', 'sheen', 'seedy']","['GXXXY', 'XXGXX', 'GXGYX', 'GGGGG']","[35, 3, 1, 1]"
4,"['soare', 'cling', 'brink', 'print']","['XXXYX', 'XXGGX', 'XGGGX', 'GGGGG']","[57, 4, 1, 1]"
3,"['soare', 'teary', 'yearn']","['XXGGY', 'XGGGY', 'GGGGG']","[9, 1, 1]"
4,"['soare', 'clint', 'brain', 'drain']","['XXGYX', 'XXYYX', 'XGGGG', 'GGGGG']","[40, 3, 2, 2]"
4,"['soare', 'tepid', 'brine', 'bribe']","['XXXYG', 'XYXYX', 'GGGXG', 'GGGGG']","[39, 6, 1, 1]"
6,"['soare', 'knelt', 'scout', 'shout', 'spout', 'stout']","['GYXXX', 'XXXXG', 'GXGGG', 'GXGGG', 'GXGGG', 'GGGGG']","[37, 5, 3, 2, 1, 1]"
4,"['soare', 'intel', 'navel', 'panel']","['XXYXY', 'XYXGG', 'YGXGG', 'GGGGG']","[68, 2, 1, 1]"
3,"['soare', 'brash', 'crass']","['YXGYX', 'XGGGX', 'GGGGG']","[7, 3, 3]"
3,"['soare', 'glint', 'flume']","['XXXXG', 'XGXXX', 'GGGGG']","[79, 4, 4]"
4,"['soare', 'glint', 'afoul', 'offal']","['XYYXX', 'XYXXX', 'YGYXG', 'GGGGG']","[44, 2, 1, 1]"
2,"['soare', 'agree']","['XXYYG', 'GGGGG']","[7, 7]"
3,"['soare', 'tenor', 'error']","['XYXYY', 'XYXGG', 'GGGGG']","[13, 1, 1]"
4,"['soare', 'shirt', 'smirk', 'swirl']","['GXXGX', 'GXGGX', 'GXGGX', 'GGGGG']","[8, 2, 1, 1]"
3,"['soare', 'agree', 'argue']","['XXYYG', 'GYYYG', 'GGGGG']","[7, 1, 1]"
3,"['soare', 'lited', 'bleed']","['XXXXY', 'YXXGG', 'GGGGG']","[120, 2, 2]"
4,"['soare', 'intel', 'bleat', 'delta']","['XXYXY', 'XXYYY', 'XYYYY', 'GGGGG']","[68, 5, 1, 1]"
5,"['soare', 'lindy', 'blitz', 'click', 'flick']","['XXXXX', 'YYXXX', 'XGGXX', 'YGGGG', 'GGGGG']","[183, 14, 3, 1, 1]"
3,"['soare', 'tawny', 'totem']","['XGXXY', 'GXXXX', 'GGGGG']","[26, 1, 1]"
3,"['soare', 'wiver', 'wooer']","['XGXYY', 'GXXGG', 'GGGGG']","[22, 1, 1]"
3,"['soare', 'ungot', 'front']","['XYXYX', 'XYXYG', 'GGGGG']","[59, 1, 1]"
3,"['soare', 'scrub', 'shrub']","['GXXYX', 'GXGGG', 'GGGGG']","[9, 1, 1]"
