steps,words,feedback,ncands
4,"['arose', 'teind', 'knelt', 'unmet']","['XXXXY', 'YYXYX', 'XGYXG', 'GGGGG']","[120, 2, 1, 1]"
3,"['arose', 'chest', 'flesh']","['XXXGY', 'XYGGX', 'GGGGG']","[10, 1, 1]"
4,"['arose', 'clint', 'goody', 'booby']","['XXGXX', 'XXXXX', 'XGGXG', 'GGGGG']","[39, 8, 3, 3]"
3,"['arose', 'thrum', 'forth']","['XYYXX', 'YYGXX', 'GGGGG']","[49, 3, 3]"
3,"['arose', 'burst', 'first']","['XYXGX', 'XXGGG', 'GGGGG']","[2, 1, 1]"
3,"['arose', 'plant', 'stand']","['YXXYX', 'XXGGY', 'GGGGG']","[67, 2, 2]"
4,"['arose', 'teind', 'belch', 'belly']","['XXXXY', 'XGXXX', 'GGGXX', 'GGGGG']","[120, 13, 1, 1]"
3,"['arose', 'choir', 'ivory']","['XYGXX', 'XXGYY', 'GGGGG']","[9, 1, 1]"
4,"['arose', 'spilt', 'semen', 'seedy']","['XXXYY', 'GXXXX', 'GGXYX', 'GGGGG']","[44, 4, 1, 1]"
3,"['arose', 'glint', 'print']","['XGXXX', 'XXGGG', 'GGGGG']","[37, 1, 1]"
3,"['arose', 'patly', 'yearn']","['YYXXY', 'XYXXY', 'GGGGG']","[60, 1, 1]"
4,"['arose', 'clint', 'brain', 'drain']","['YGXXX', 'XXYYX', 'XGGGG', 'GGGGG']","[43, 3, 2, 2]"
4,"['arose', 'pudic', 'tribe', 'bribe']","['XGXXG', 'XXXYX', 'XGGGG', 'GGGGG']","[24, 6, 1, 1]"
5,"['arose', 'clipt', 'shoot', 'snout', 'stout']","['XXGYX', 'XXXXG', 'GXGYG', 'GXGGG', 'GGGGG']","[36, 4, 2, 1, 1]"
5,"['arose', 'letch', 'gleam', 'navel', 'panel']","['YXXXY', 'YYXXX', 'XYYYX', 'YGXGG', 'GGGGG']","[78, 11, 2, 1, 1]"
3,"['arose', 'brash', 'crass']","['YGXGX', 'XGGGX', 'GGGGG']","[7, 3, 3]"
3,"['arose', 'guilt', 'flume']","['XXXXG', 'XYXYX', 'GGGGG']","[79, 4, 4]"
3,"['arose', 'cotan', 'offal']","['YXYXX', 'XYXGX', 'GGGGG']","[44, 1, 1]"
3,"['arose', 'afire', 'agree']","['GYXXG', 'GXXYG', 'GGGGG']","[4, 1, 1]"
3,"['arose', 'credo', 'error']","['XGYXY', 'XGYXY', 'GGGGG']","[3, 1, 1]"
4,"['arose', 'shtup', 'smirk', 'swirl']","['XYXYX', 'GXXXX', 'GXGGX', 'GGGGG']","[21, 2, 1, 1]"
2,"['arose', 'argue']","['GGXXG', 'GGGGG']","[1, 1]"
3,"['arose', 'teind', 'bleed']","['XXXXY', 'XYXXG', 'GGGGG']","[120, 3, 3]"
4,"['arose', 'letch', 'dealt', 'delta']","['YXXXY', 'YGYXX', 'GGYYY', 'GGGGG']","[78, 2, 1, 1]"
3,"['arose', 'clint', 'flick']","['XXXXX', 'YGGXX', 'GGGGG']","[183, 1, 1]"
3,"['arose', 'moten', 'totem']","['XXYXY', 'YGGGX', 'GGGGG']","[47, 1, 1]"
2,"['arose', 'wooer']","['XYGXY', 'GGGGG']","[1, 1]"
3,"['arose', 'tigon', 'front']","['XGGXX', 'YXXYY', 'GGGGG']","[38, 1, 1]"
3,"['arose', 'shtup', 'shrub']","['XYXYX', 'GGXGX', 'GGGGG']","[21, 2, 2]"
4,"['arose', 'halid', 'party', 'parry']","['YYXXX', 'XGXXX', 'GGGXG', 'GGGGG']","[55, 9, 1, 1]"
3,"['arose', 'clone', 'biome']","['XXGXG', 'XXGXG', 'GGGGG']","[16, 5, 5]"
4,"['arose', 'letch', 'label', 'lapel']","['YXXXY', 'GYXXX', 'GGXGG', 'GGGGG']","[78, 3, 1, 1]"
4,"['arose', 'chapt', 'smart', 'start']","['YYXYX', 'XXGXG', 'GXGGG', 'GGGGG']","[21, 2, 1, 1]"
4,"['arose', 'diact', 'erupt', 'greet']","['XGXXY', 'XXXXG', 'YGXXG', 'GGGGG']","[28, 2, 1, 1]"
7,"['arose', 'rotch', 'lower', 'joker', 'boxer', 'foyer', 'goner']","['XYYXY', 'YGXXX', 'XGXGG', 'XGXGG', 'XGXGG', 'XGXGG', 'GGGGG']","[34, 10, 6, 4, 3, 2, 2]"
3,"['arose', 'moten', 'golem']","['XXYXY', 'YGXGX', 'GGGGG']","[47, 1, 1]"
5,"['arose', 'skint', 'dusty', 'gusty', 'lusty']","['XXXYX', 'YXXXY', 'XGGGG', 'XGGGG', 'GGGGG']","[79, 4, 3, 2, 2]"
3,"['arose', 'clint', 'loopy']","['XXGXX', 'XYXXX', 'GGGGG']","[39, 3, 3]"
4,"['arose', 'thrum', 'gourd', 'round']","['XYYXX', 'XXYYX', 'XGGYG', 'GGGGG']","[49, 2, 1, 1]"
4,"['arose', 'flint', 'admit', 'audit']","['GXXXX', 'XXYXG', 'GYXGG', 'GGGGG']","[30, 3, 1, 1]"
