word,cares_doily,cares_pouty,cares_poind,cares_gouty,cares_noily,cares_point,cares_doilt,cares_piony,cares_bound,cares_pound,bares_doily,bares_pouty,bares_poind,bares_gouty,bares_noily,bares_point,bares_doilt,bares_piony,bares_could,bares_colin,pares_doily,pares_gouty,pares_noily,pares_doilt,pares_bound,pares_could,pares_colin,pares_count,pares_boult,pares_boink,tares_doily,tares_poind,tares_noily,tares_piony,tares_bound,tares_could,tares_colin,tares_pound,tares_boink,tares_mound,cores_laity,cores_daily,cores_gaily,cores_haily,cores_paint,cores_bialy,cores_daint,cores_baith,cores_faint,cores_gaudy,bores_laity,bores_daily,bores_gaily,bores_haily,bores_canid,bores_calid,bores_paint,bores_daint,bores_cauld,bores_faint,mares_doily,mares_pouty,mares_poind,mares_gouty,mares_noily,mares_point,mares_doilt,mares_piony,mares_bound,mares_could,pores_laity,pores_daily,pores_gaily,pores_haily,pores_canid,pores_calid,pores_bialy,pores_daint,pores_baith,pores_cauld,canes_doily,canes_roily,canes_pouty,canes_gouty,canes_loury,canes_doilt,canes_bourd,canes_boult,canes_poult,canes_roupy,dares_pouty,dares_gouty,dares_noily,dares_point,dares_piony,dares_colin,dares_count,dares_boult,dares_poult,dares_boink
model,4,4,3,4,4,4,4,4,3,3,4,4,3,4,4,4,4,4,3,4,4,4,4,4,3,3,4,4,4,4,4,3,4,4,3,3,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,4,3,4,3,4,3,4,3,4,3,3,4,4,4,4,3,3,4,4,4,3,4,4,5,4,5,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4
karma,5,4,5,5,5,5,5,4,5,5,4,4,5,5,4,5,5,5,5,5,4,4,4,5,5,5,5,5,5,4,5,5,4,4,5,6,5,5,4,4,5,5,5,6,5,5,6,4,6,5,4,4,4,4,5,5,5,6,5,6,4,4,4,4,4,4,4,4,4,4,4,4,4,6,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,4,4,5,5,5,4,5,5,5,5,4
stink,5,5,5,5,5,4,4,5,3,3,4,5,5,4,3,4,5,5,4,5,4,4,5,5,3,5,5,4,5,4,5,5,5,5,5,5,5,5,3,5,5,5,5,5,4,5,4,5,4,6,5,4,5,5,5,4,4,4,4,4,4,5,5,5,3,4,4,5,3,4,5,4,5,5,5,5,4,4,5,5,5,5,5,4,3,4,3,4,4,3,5,5,3,4,5,5,4,5,5,4
grade,5,5,5,3,5,5,4,5,5,5,5,5,5,3,5,5,4,5,5,5,5,3,5,4,5,5,5,5,5,5,4,4,5,5,4,4,5,4,4,4,5,5,3,5,5,4,4,4,5,3,5,5,3,6,5,5,5,4,5,5,5,6,5,3,5,5,4,5,5,5,6,5,3,7,5,5,5,4,6,5,5,5,5,3,5,4,5,4,5,5,4,3,5,4,5,5,4,4,4,5
quiet,3,4,3,4,3,3,3,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,4,4,4,3,4,4,3,3,3,3,4,4,4,4,3,4,3,3,3,3,3,4,3,3,3,4,3,4,4,3,4,4,3,3,4,3,4,4,4,4,4,3,3,4,4,4,3,4,4,3,4,4,5,3,3,4,4,3,4,4,5,3,4,3,3,4,4,4,4,3,4,4,3,4,4,4
bench,3,3,3,4,4,4,4,3,3,4,4,4,3,4,4,4,4,4,3,3,4,4,4,4,3,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,4,4,3,4,4,4,4,4,4,4,3,3,3,4,4,3,4,5,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,3
abate,5,4,5,4,5,4,5,6,5,6,4,3,5,3,4,3,3,5,4,4,6,4,5,5,4,6,5,4,3,4,5,5,4,4,3,4,4,5,3,5,5,5,5,5,4,3,6,3,4,5,3,4,4,4,5,4,3,3,4,3,5,5,6,4,5,4,4,6,5,6,5,6,6,5,5,5,3,4,3,6,4,5,6,5,5,5,5,3,5,6,5,4,5,4,6,5,6,3,5,4
feign,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,3,4,5,4,4,4,4,3,4,4,3,4,4,4,4,4,4,3,4,3,4,5,4,4,4,4,5,4,4,3,5,4,4,4,4,4,4,4,4,5,3,4,5,4,5,4,4,5,4,4,4,4,4,4,4,4,5,5,4,4,4,5,4,5,5,4,5,5,5,5,4,5,5,4,4,4,3,4,4,4,4
major,4,4,5,4,5,4,4,5,5,5,4,4,4,4,4,3,4,4,5,5,4,4,5,4,4,4,4,4,4,4,4,3,4,4,4,4,5,3,4,3,4,4,4,4,4,4,5,5,5,5,4,4,4,4,5,5,3,4,5,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,4,4,3,4,4,5,5,4,5,5,5,4,5,4,4,4,4,5,3,5,5,4,4,4,5
death,4,4,4,4,5,4,3,5,4,4,4,3,4,3,4,4,3,4,4,4,4,4,5,3,4,4,4,4,5,4,3,3,4,4,4,4,4,3,5,4,4,4,5,4,4,4,3,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,5,4,3,5,4,4,4,4,5,4,4,4,4,3,3,4,4,5,4,4,4,3,4,5,5,4,3,3,4,3,4,3,3,3,3,4
fresh,4,4,4,4,5,4,4,5,4,4,5,4,4,4,5,4,4,5,4,4,4,4,5,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,3,3,4,4,5,5,4,4,4,4,4,4,3,5,4,4,4,5,4,4,5,5,4,4,4,4,4,4,4,4,4,3,4,5,5,4,5,5,4,5,4,4,5,4,4,5,4,5,4,4,4,4,5
crust,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,4,4,3,3,3,5,4,5,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,5,3,3,4,4,3,4,5,4,3,4,5,4,4,5,3,3,4,5,5,5,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,5,4,5,3,3,4,4,3
stool,4,6,4,6,4,4,3,5,4,4,4,6,4,6,4,5,3,5,4,4,4,6,4,3,4,4,4,4,3,5,4,5,4,5,5,4,4,5,6,5,4,4,4,4,4,4,4,7,5,4,4,4,4,4,4,4,5,4,4,5,4,6,4,5,4,5,3,5,4,4,4,4,4,4,4,4,4,4,6,4,4,4,5,6,4,3,4,3,3,5,5,5,4,4,4,4,4,3,3,4
colon,3,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,5,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,3,3,4,3,4,4,4,5,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,3,3,3,4,4,3,4,4,4,3,4,5,3,4,4,3,4,4,4,4
abase,6,5,6,6,6,6,6,5,3,5,4,3,4,3,4,4,4,4,3,4,6,6,6,6,3,4,5,5,3,4,6,7,6,6,3,5,6,6,4,6,6,6,6,5,6,3,7,4,7,6,4,4,4,4,4,4,4,4,3,4,6,6,7,6,6,7,6,6,3,5,6,6,6,5,6,5,3,7,4,4,6,6,6,6,5,6,3,3,5,5,6,6,6,7,6,6,6,3,5,4
marry,5,4,3,4,6,4,5,4,4,3,5,4,3,4,6,4,3,4,4,5,6,6,6,6,3,5,5,3,3,4,6,3,6,4,3,5,5,3,4,3,5,5,6,5,4,4,3,5,3,5,5,5,6,5,4,4,4,3,4,4,3,3,3,3,3,3,3,3,3,4,6,6,6,5,3,5,4,3,4,5,6,5,4,4,5,3,3,5,3,5,6,6,6,3,6,6,3,3,6,4
react,4,4,4,4,4,3,3,4,4,5,5,5,5,4,5,4,4,5,4,4,5,4,5,5,5,5,5,3,5,5,4,4,4,4,4,3,3,4,4,4,4,4,4,4,3,4,3,4,3,4,5,5,5,5,4,4,4,4,4,4,5,5,5,4,5,4,4,5,5,5,5,5,6,5,4,5,5,4,4,5,4,4,4,4,5,4,4,4,4,4,4,4,5,4,5,4,3,4,5,5
batty,4,4,5,4,5,5,4,5,3,4,3,3,3,3,4,3,3,4,4,3,4,4,5,5,3,4,6,5,3,3,4,4,3,4,3,3,4,3,3,3,4,4,4,4,5,4,6,3,5,4,3,3,4,4,3,4,3,3,4,3,4,3,4,3,4,5,6,4,3,4,4,4,4,4,5,4,4,5,3,4,4,5,3,5,5,6,3,3,5,5,4,4,7,5,4,7,6,3,5,3
pride,3,5,3,6,4,5,3,5,5,3,3,6,3,7,7,6,3,6,5,6,3,6,6,3,3,3,5,4,4,6,3,3,6,6,5,5,4,3,6,5,6,3,6,5,5,7,3,5,5,4,6,3,7,7,3,3,6,3,5,6,3,5,3,6,6,5,3,5,5,5,6,3,6,6,3,3,6,3,6,3,4,4,6,6,5,4,5,5,6,6,3,4,3,3,3,3,5,4,3,3
floss,4,6,5,5,4,5,4,5,6,5,5,6,5,6,5,5,5,6,4,6,4,6,4,4,5,4,5,6,4,5,4,5,4,6,6,4,4,5,6,5,4,4,4,4,5,4,5,5,4,5,5,5,5,5,5,5,5,5,4,4,4,5,6,6,4,6,4,6,5,4,4,4,6,5,5,5,5,5,5,4,4,4,6,6,5,4,6,4,4,6,5,5,4,5,6,5,5,4,4,6
helix,4,5,5,5,5,5,4,5,5,5,5,5,5,6,5,5,5,5,5,4,5,6,6,5,6,5,5,5,6,6,5,5,6,6,5,4,5,5,4,5,5,4,4,3,5,5,5,3,4,4,5,5,4,3,5,4,5,4,5,4,4,5,5,5,5,5,4,5,5,5,6,5,5,3,4,4,5,5,4,5,4,5,4,4,5,4,5,5,5,4,5,4,5,5,5,4,5,5,5,4
croak,3,4,4,4,3,4,3,3,4,4,5,4,5,4,5,4,4,5,3,3,5,5,5,4,5,3,3,4,4,4,4,4,5,5,4,3,3,4,4,4,3,3,3,3,4,3,4,4,4,4,4,5,5,5,4,3,4,4,3,4,5,5,5,5,5,5,4,4,5,3,5,5,5,5,4,3,5,4,4,3,4,3,4,4,3,4,3,4,4,4,4,4,5,4,5,3,4,4,4,4
staff,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,6,5,5,4,5,5,5,5,5,5,5,5,6,5,5,5,4,5,4,5,5,6,5,5,5,4,4,5,5,4,3,6,5,5,5,4,4,5,4,5,6,3,5,5,5,5,5,4,5,5,5,5,4,5,5,4,5,5,5,4,4,5,5,5,6,6,5,5,5,5,4,6,4,5,5,4,5,5,5,5,5,5
paper,6,3,3,6,6,3,5,3,6,3,5,3,3,5,6,3,5,3,8,6,3,3,3,3,3,3,3,3,3,3,5,3,5,3,5,5,6,3,5,6,5,6,7,6,3,6,6,5,5,6,5,5,5,5,6,8,3,5,8,5,7,3,3,5,6,3,5,3,6,6,3,3,3,3,3,3,3,3,3,3,7,4,4,6,7,6,6,5,4,3,3,5,5,3,3,6,6,5,3,6
unfed,6,4,7,7,6,7,7,7,6,7,7,4,6,6,5,6,7,6,6,5,6,7,7,5,6,6,6,7,5,6,7,7,6,7,6,6,6,7,5,7,6,6,7,7,7,7,7,6,3,7,6,7,6,6,6,7,6,6,6,3,6,7,7,7,6,7,6,7,6,6,6,6,7,7,7,6,6,7,6,6,8,6,8,8,6,8,6,6,7,7,7,7,6,7,7,6,7,5,6,5
whelp,6,4,5,7,6,5,6,4,6,4,3,4,5,4,3,4,4,5,6,6,4,4,5,4,5,3,4,4,4,4,4,4,3,4,5,6,6,4,5,4,6,6,6,5,5,6,6,6,6,6,4,3,4,3,6,6,4,5,6,4,4,4,4,4,4,4,6,4,5,5,4,4,5,4,5,5,5,4,4,3,6,6,4,7,7,6,6,6,4,4,4,4,4,4,4,5,6,4,4,5
trawl,5,5,5,5,5,3,4,5,5,5,5,5,4,6,5,3,4,4,5,4,6,5,5,4,5,5,5,4,4,4,3,4,3,4,6,4,3,4,5,5,4,5,5,5,3,4,4,5,4,5,4,5,4,5,4,4,3,5,5,5,6,5,5,5,5,4,4,5,5,5,4,6,5,6,5,5,4,3,5,5,5,5,4,5,5,4,5,4,4,5,5,6,6,3,5,5,4,4,4,4
outdo,4,4,4,4,4,4,3,5,4,4,4,5,4,5,4,4,3,5,4,4,4,5,5,3,4,4,4,4,4,4,3,3,4,4,3,3,4,3,4,3,4,4,4,4,4,4,3,4,4,3,4,4,5,4,4,4,4,3,4,4,4,4,4,5,4,4,3,5,3,4,4,4,5,4,4,4,5,3,4,4,4,4,4,4,4,3,4,4,4,4,3,3,3,3,4,3,3,3,3,4
adobe,4,5,3,5,4,4,4,4,3,3,3,4,3,4,4,4,3,4,3,4,3,4,4,3,3,3,4,4,4,4,4,3,4,4,3,4,4,3,4,3,4,4,4,5,4,4,3,4,4,3,4,3,4,4,3,3,4,3,3,4,4,5,3,5,4,4,4,4,3,4,4,3,4,5,3,3,4,3,4,3,3,4,4,4,4,3,3,4,4,4,3,4,3,3,3,3,3,3,3,3
crazy,3,4,5,3,3,4,4,4,5,7,4,4,5,4,4,5,4,4,5,4,5,4,4,4,6,7,4,6,5,5,4,4,4,5,5,5,4,5,4,5,3,3,3,3,4,3,4,3,4,3,4,4,4,4,4,4,5,4,5,4,4,4,5,4,4,4,4,4,5,5,5,5,4,5,5,5,3,4,5,7,3,3,4,3,3,4,5,5,5,4,5,4,4,4,5,4,5,5,6,4
sower,6,6,6,5,6,6,5,6,5,6,5,5,5,4,5,5,5,5,5,5,5,5,6,5,5,5,6,6,5,5,5,6,6,6,5,5,6,6,5,6,6,6,5,6,6,5,6,5,6,5,5,5,4,5,5,5,5,5,5,5,6,6,6,5,6,6,5,6,5,6,6,5,5,6,6,5,5,6,5,5,6,6,7,7,6,6,6,6,6,7,6,5,5,6,6,5,6,5,5,5
repay,4,3,3,5,4,3,6,3,5,3,4,3,3,5,4,3,6,3,6,6,3,3,3,4,3,4,4,3,4,4,3,3,4,3,5,6,5,3,6,6,4,4,4,4,3,4,6,6,6,4,4,4,4,4,6,7,3,6,6,6,4,3,4,4,4,4,5,3,6,6,3,3,3,3,3,4,3,3,4,4,4,4,3,5,3,5,6,5,4,3,3,4,4,3,3,6,6,6,4,6
digit,3,4,4,4,3,4,3,4,4,4,3,4,4,4,3,4,3,4,4,4,3,4,3,3,4,4,4,4,4,5,3,4,3,4,4,3,4,4,4,4,3,3,4,5,4,3,3,5,4,3,3,3,4,5,3,3,4,3,4,4,3,4,4,4,3,4,3,4,4,4,3,3,4,5,3,3,4,3,5,4,3,3,4,4,4,3,4,4,4,4,3,3,3,3,3,3,3,3,3,4
crate,5,3,5,3,5,3,3,5,5,5,6,3,5,3,5,3,4,5,5,5,6,3,5,4,5,5,5,3,4,5,4,4,4,4,4,3,3,4,4,4,3,5,5,5,3,6,3,3,3,5,3,6,6,4,5,5,3,4,5,4,6,3,5,3,5,3,4,5,5,5,3,6,4,4,5,5,6,4,3,5,4,5,3,3,4,3,4,3,3,5,3,3,5,4,5,5,3,4,4,4
cluck,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,5,4,4,4,4,4,4,5,5,4,3,4,4,4,4,4,5,4,4,4,4,4,3,5,4,4,3,4,4,4,4,4,5,4,4,3,4,4,4,4,4,5,4,4,4,4,5,4,4,4,5,4,5,4,4,4,3,4,4,4,3,4,4,4,3,3,5,5,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3
spike,5,4,4,6,5,3,6,4,6,4,5,4,4,6,5,3,5,4,5,5,4,4,4,3,4,4,4,4,4,3,5,3,5,3,5,6,5,4,3,5,5,5,5,5,3,5,5,6,5,6,5,5,5,5,6,5,3,5,5,5,5,4,4,5,5,3,5,4,6,6,3,4,4,4,4,4,4,3,3,4,5,5,4,6,5,6,6,5,4,5,4,6,5,3,4,5,5,5,4,4
mimic,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,5,4,5,4,4,5,4,5,4,5,4,4,4,4,4,3,5,3,5,5,4,4,5,5,4,4,4,4,4,4,5,4,4,4,4,4,5,5,4,4,4,5,5,4,5,3,3,4,3,4,4,4,4,4,5,3,5,5,5,4,4,5,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,5,5,4,4,5,4,4
pound,7,3,3,3,7,4,4,3,6,2,6,3,3,3,4,4,4,3,6,7,3,3,3,3,3,3,4,3,3,4,7,3,4,3,6,7,8,2,6,6,4,7,3,4,4,4,3,7,6,7,4,6,4,4,3,3,4,3,6,5,6,3,3,3,4,4,4,3,5,6,3,3,4,3,3,3,4,3,4,3,8,7,3,8,7,8,6,7,3,3,3,7,7,3,3,7,7,6,3,3
maxim,4,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,6,5,4,6,5,5,5,5,5,5,6,4,5,6,5,5,4,4,4,5,5,6,5,6,5,5,5,5,4,5,5,5,5,5,5,6,5,5,5,5,4,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,4,5,5,5,6
linen,4,4,3,4,3,3,4,3,3,3,4,4,3,6,3,3,4,3,4,3,4,4,3,4,3,4,3,3,5,3,4,3,3,3,3,4,3,3,3,3,4,4,4,5,3,4,3,4,3,4,4,4,4,5,4,4,3,3,4,3,4,4,3,4,3,4,4,3,3,4,4,4,4,4,4,4,4,3,4,4,4,4,5,5,4,4,4,5,5,4,4,4,3,3,3,3,3,4,4,3
unmet,3,7,8,6,6,7,3,7,3,3,3,7,3,6,6,7,3,7,3,6,5,6,3,7,3,3,6,7,3,3,6,7,6,7,7,3,6,7,6,3,7,3,4,4,7,4,7,8,7,3,7,3,6,6,4,3,7,7,3,7,5,4,5,4,4,3,5,4,5,3,7,5,6,6,8,7,6,7,8,3,4,6,7,6,4,6,3,6,6,4,7,6,3,7,3,3,7,3,3,3
flesh,4,4,5,4,4,4,4,5,5,5,4,4,5,4,4,4,4,5,4,4,4,4,4,4,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,5,4,4,4,4,5,5,3,4,4,4,4,5,4,4,4,4,4,4,4,5,4,4,4,5,4,4,5,4,4,4,4,5,4,4,4,4,5
booby,4,5,4,5,4,5,3,5,4,4,4,3,4,3,4,3,4,4,4,4,4,5,4,5,4,4,4,5,3,4,4,5,4,4,3,3,3,5,3,5,4,4,4,4,5,4,3,3,5,4,3,4,4,4,4,4,3,3,4,3,4,5,4,5,4,5,7,5,4,4,3,4,4,4,4,4,4,5,3,4,4,4,5,5,5,3,4,3,3,5,5,5,4,5,5,4,3,3,5,4
forth,3,5,4,5,5,4,4,5,4,4,3,5,4,5,3,4,3,3,6,4,3,5,5,3,4,4,4,4,3,4,5,4,4,4,4,4,4,4,4,4,5,3,3,5,4,3,4,5,4,5,5,3,3,5,4,4,4,4,6,4,3,5,4,5,3,4,4,5,4,6,5,3,3,5,4,4,3,4,5,4,4,5,4,4,3,4,5,5,5,5,5,5,3,4,5,4,4,3,3,4
first,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,3,3,4,4,3,4,3,4,3,4,4,3,3,3,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,3,4,3,4,3,4,4,4,4,4,3,3,3,3,4,3,4,3,4,4,4,3,3,4,4,4,4,4,4,4,3,3,4,3,4,4,4,4,5,5,4,4,4,5,5,4,4,4,4,3,4,3,3,3,3,4
stand,3,4,3,4,4,3,3,4,3,3,4,4,3,4,4,3,3,4,3,4,4,4,4,3,3,3,5,3,4,3,3,3,3,3,3,3,3,3,3,3,4,3,4,5,3,5,3,4,3,3,5,4,5,4,3,3,3,3,3,3,4,4,3,4,4,3,3,4,3,3,5,4,5,4,3,3,5,3,4,3,3,4,3,3,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3
belly,5,6,4,6,5,4,5,3,4,4,3,4,4,4,3,4,4,4,4,4,5,6,5,4,4,5,3,4,4,4,5,4,5,6,4,5,3,4,4,4,4,5,5,5,4,3,4,4,4,3,3,3,3,3,4,4,4,4,4,4,5,6,4,6,5,6,4,6,4,5,5,5,5,5,4,3,3,4,4,5,5,5,4,6,4,4,4,4,5,3,6,3,5,4,3,4,4,4,4,4
ivory,3,4,4,4,3,5,4,3,5,5,3,4,4,4,3,5,4,3,5,5,3,4,3,4,5,5,5,5,5,4,3,5,3,3,4,5,5,5,5,5,3,3,3,3,5,3,5,5,5,4,3,3,3,3,4,5,5,5,5,5,3,4,4,4,3,5,4,3,5,5,3,3,3,3,4,4,3,5,5,5,3,3,4,4,3,4,5,4,4,4,4,4,3,5,3,5,4,4,5,4
seedy,3,5,4,4,4,5,3,5,4,4,3,5,4,4,4,5,3,5,4,4,3,5,4,3,4,4,4,5,4,5,3,4,3,4,4,4,4,4,5,4,4,3,5,5,5,5,3,5,4,3,4,3,5,5,4,4,5,3,4,4,3,4,4,4,4,5,5,4,4,4,4,3,5,5,4,4,5,3,5,4,3,4,4,4,4,3,4,4,4,5,3,3,3,3,3,4,4,4,4,4
print,3,3,3,5,5,3,5,3,3,3,5,3,3,5,5,3,4,3,5,5,4,3,3,3,3,4,3,3,3,3,4,3,3,3,3,4,3,3,3,3,4,3,5,3,3,3,3,4,3,4,4,5,5,3,4,4,3,3,5,3,5,3,3,5,5,3,5,3,3,4,3,4,4,4,3,4,4,3,3,4,4,5,3,3,5,3,3,4,3,3,3,4,4,3,3,4,3,4,3,4
