steps,words,feedback,ncands
4,"['soare', 'teind', 'knelt', 'unmet']","['XXXXY', 'YYXYX', 'XGYXG', 'GGGGG']","[120, 2, 1, 1]"
4,"['soare', 'guest', 'bless', 'flesh']","['YXXXY', 'XXGGX', 'XGGGY', 'GGGGG']","[19, 3, 1, 1]"
4,"['soare', 'culty', 'goody', 'booby']","['XGXXX', 'XXXXG', 'XGGXG', 'GGGGG']","[87, 15, 3, 3]"
3,"['soare', 'cyton', 'forth']","['XGXYX', 'XXYYX', 'GGGGG']","[26, 2, 2]"
3,"['soare', 'crust', 'first']","['YXXYX', 'XYXGG', 'GGGGG']","[16, 1, 1]"
4,"['soare', 'thilk', 'scant', 'stand']","['GXGXX', 'YXXXX', 'GXGGY', 'GGGGG']","[41, 4, 1, 1]"
4,"['soare', 'teind', 'belch', 'belly']","['XXXXY', 'XGXXX', 'GGGXX', 'GGGGG']","[120, 13, 1, 1]"
4,"['soare', 'chord', 'glory', 'ivory']","['XYXGX', 'XXGGX', 'XXGGG', 'GGGGG']","[8, 2, 1, 1]"
4,"['soare', 'clipt', 'semen', 'seedy']","['GXXXY', 'XXXXX', 'GGXYX', 'GGGGG']","[35, 4, 1, 1]"
3,"['soare', 'glint', 'print']","['XXXYX', 'XXGGG', 'GGGGG']","[57, 1, 1]"
3,"['soare', 'teary', 'yearn']","['XXGGY', 'XGGGY', 'GGGGG']","[9, 1, 1]"
4,"['soare', 'clint', 'brain', 'drain']","['XXGYX', 'XXYYX', 'XGGGG', 'GGGGG']","[40, 3, 2, 2]"
4,"['soare', 'pudic', 'tribe', 'bribe']","['XXXYG', 'XXXYX', 'XGGGG', 'GGGGG']","[39, 7, 1, 1]"
5,"['soare', 'clipt', 'shoot', 'snout', 'stout']","['GYXXX', 'XXXXG', 'GXGYG', 'GXGGG', 'GGGGG']","[37, 4, 2, 1, 1]"
3,"['soare', 'tepal', 'panel']","['XXYXY', 'XYYYG', 'GGGGG']","[68, 1, 1]"
3,"['soare', 'brash', 'crass']","['YXGYX', 'XGGGX', 'GGGGG']","[7, 3, 3]"
3,"['soare', 'guilt', 'flume']","['XXXXG', 'XYXYX', 'GGGGG']","[79, 4, 4]"
4,"['soare', 'blunt', 'aglow', 'offal']","['XYYXX', 'XYXXX', 'YXYYX', 'GGGGG']","[44, 3, 2, 2]"
3,"['soare', 'barge', 'agree']","['XXYYG', 'XYGYG', 'GGGGG']","[7, 1, 1]"
3,"['soare', 'tenor', 'error']","['XYXYY', 'XYXGG', 'GGGGG']","[13, 1, 1]"
4,"['soare', 'shirt', 'smirk', 'swirl']","['GXXGX', 'GXGGX', 'GXGGX', 'GGGGG']","[8, 2, 1, 1]"
3,"['soare', 'barge', 'argue']","['XXYYG', 'XYYYG', 'GGGGG']","[7, 1, 1]"
3,"['soare', 'teind', 'bleed']","['XXXXY', 'XYXXG', 'GGGGG']","[120, 3, 3]"
3,"['soare', 'tepal', 'delta']","['XXYXY', 'YGXYY', 'GGGGG']","[68, 1, 1]"
3,"['soare', 'clint', 'flick']","['XXXXX', 'YGGXX', 'GGGGG']","[183, 1, 1]"
3,"['soare', 'meynt', 'totem']","['XGXXY', 'YYXXY', 'GGGGG']","[26, 1, 1]"
3,"['soare', 'rewth', 'wooer']","['XGXYY', 'YYYXX', 'GGGGG']","[22, 1, 1]"
3,"['soare', 'cutin', 'front']","['XYXYX', 'XXYXY', 'GGGGG']","[59, 1, 1]"
3,"['soare', 'scrub', 'shrub']","['GXXYX', 'GXGGG', 'GGGGG']","[9, 1, 1]"
5,"['soare', 'hairy', 'carry', 'marry', 'parry']","['XXYGX', 'XGXGG', 'XGGGG', 'XGGGG', 'GGGGG']","[11, 3, 2, 1, 1]"
3,"['soare', 'clone', 'biome']","['XYXXG', 'XXGXG', 'GGGGG']","[20, 4, 4]"
3,"['soare', 'tepal', 'lapel']","['XXYXY', 'XYGYG', 'GGGGG']","[68, 1, 1]"
3,"['soare', 'stark', 'start']","['GXGGX', 'GGGGX', 'GGGGG']","[11, 1, 1]"
4,"['soare', 'tined', 'beret', 'greet']","['XXXYY', 'YXXGX', 'XYYGG', 'GGGGG']","[117, 6, 1, 1]"
