steps,words,feedback,ncands
7,"['tares', 'colin', 'bound', 'found', 'hound', 'mound', 'pound']","['XXXXX', 'XGXXY', 'XGGGG', 'XGGGG', 'XGGGG', 'XGGGG', 'GGGGG']","[227, 9, 5, 4, 3, 2, 2]"
4,"['tares', 'mincy', 'mafia', 'maxim']","['XGXXX', 'GYXXX', 'GGXGY', 'GGGGG']","[66, 2, 1, 1]"
4,"['tares', 'indol', 'liken', 'linen']","['XXXGX', 'YYXXY', 'GGXGG', 'GGGGG']","[56, 2, 1, 1]"
3,"['tares', 'motel', 'unmet']","['YXXGX', 'YXYGX', 'GGGGG']","[14, 1, 1]"
3,"['tares', 'poilu', 'flesh']","['XXXYY', 'XXXYX', 'GGGGG']","[61, 2, 2]"
4,"['tares', 'colin', 'goody', 'booby']","['XXXXX', 'XGXXX', 'XGGXG', 'GGGGG']","[227, 16, 3, 3]"
3,"['tares', 'birth', 'forth']","['YXGXX', 'XXGGG', 'GGGGG']","[9, 3, 3]"
3,"['tares', 'burst', 'first']","['YXGXY', 'XXGGG', 'GGGGG']","[5, 2, 2]"
3,"['tares', 'clint', 'stand']","['YYXXY', 'XXXGY', 'GGGGG']","[23, 2, 2]"
4,"['tares', 'lingo', 'belle', 'belly']","['XXXYX', 'YXXXX', 'GGGGY', 'GGGGG']","[147, 15, 1, 1]"
4,"['tares', 'coign', 'broil', 'ivory']","['XXYXX', 'XYYXX', 'XYGYX', 'GGGGG']","[93, 2, 1, 1]"
4,"['tares', 'poilu', 'dense', 'seedy']","['XXXYY', 'XXXXX', 'YGXYY', 'GGGGG']","[61, 5, 1, 1]"
3,"['tares', 'biont', 'print']","['YXYXX', 'XYXGG', 'GGGGG']","[21, 1, 1]"
4,"['tares', 'beard', 'learn', 'yearn']","['XYYYX', 'XGGGX', 'XGGGG', 'GGGGG']","[54, 5, 1, 1]"
3,"['tares', 'brond', 'drain']","['XYYXX', 'XGXYY', 'GGGGG']","[70, 2, 2]"
4,"['tares', 'crudo', 'prime', 'bribe']","['XXYYX', 'XGXXX', 'XGGXG', 'GGGGG']","[57, 6, 2, 2]"
4,"['tares', 'pouch', 'snout', 'stout']","['YXXXY', 'XYYXX', 'GXGGG', 'GGGGG']","[55, 3, 1, 1]"
3,"['tares', 'navel', 'panel']","['XGXGX', 'YGXGG', 'GGGGG']","[15, 1, 1]"
