steps,words,feedback,ncands
4,"['tales', 'livor', 'liken', 'linen']","['XXYGX', 'GGXXX', 'GGXGG', 'GGGGG']","[43, 3, 1, 1]"
3,"['tales', 'mohur', 'unmet']","['YXXGX', 'YXXYX', 'GGGGG']","[22, 1, 1]"
3,"['tales', 'slime', 'flesh']","['XXYYY', 'YGXXY', 'GGGGG']","[14, 1, 1]"
4,"['tales', 'cornu', 'goody', 'booby']","['XXXXX', 'XGXXX', 'XGGXG', 'GGGGG']","[221, 14, 3, 3]"
3,"['tales', 'routh', 'forth']","['YXXXX', 'YGXGG', 'GGGGG']","[87, 3, 3]"
3,"['tales', 'court', 'first']","['YXXXY', 'XXXYG', 'GGGGG']","[67, 2, 2]"
3,"['tales', 'starn', 'stand']","['YYXXY', 'GGGXY', 'GGGGG']","[26, 2, 2]"
4,"['tales', 'hello', 'belle', 'belly']","['XXGYX', 'XGGGX', 'GGGGY', 'GGGGG']","[16, 3, 1, 1]"
4,"['tales', 'cornu', 'brood', 'ivory']","['XXXXX', 'XYYXX', 'XYGYX', 'GGGGG']","[221, 14, 1, 1]"
4,"['tales', 'porin', 'geese', 'seedy']","['XXXYY', 'XXXXX', 'XGGYY', 'GGGGG']","[69, 3, 1, 1]"
4,"['tales', 'routh', 'crypt', 'print']","['YXXXX', 'YXXYX', 'XGXYG', 'GGGGG']","[87, 3, 1, 1]"
4,"['tales', 'beard', 'weary', 'yearn']","['XYXYX', 'XGGGX', 'XGGGY', 'GGGGG']","[83, 3, 1, 1]"
3,"['tales', 'brond', 'drain']","['XYXXX', 'XGXYY', 'GGGGG']","[102, 2, 2]"
4,"['tales', 'drone', 'price', 'bribe']","['XXXYX', 'XGXXG', 'XGGXG', 'GGGGG']","[165, 9, 2, 2]"
6,"['tales', 'court', 'shout', 'snout', 'spout', 'stout']","['YXXXY', 'XYYXG', 'GXGGG', 'GXGGG', 'GXGGG', 'GGGGG']","[67, 4, 3, 2, 1, 1]"
4,"['tales', 'lager', 'navel', 'panel']","['XGYGX', 'YGXGX', 'YGXGG', 'GGGGG']","[11, 4, 1, 1]"
3,"['tales', 'brass', 'crass']","['XYXXG', 'XGGGG', 'GGGGG']","[7, 2, 2]"
3,"['tales', 'guile', 'flume']","['XXYYX', 'XYXYG', 'GGGGG']","[49, 4, 4]"
4,"['tales', 'corni', 'afoul', 'offal']","['XYYXX', 'XYXXX', 'YGYXG', 'GGGGG']","[67, 4, 1, 1]"
3,"['tales', 'anger', 'agree']","['XYXGX', 'GXYGY', 'GGGGG']","[7, 1, 1]"
3,"['tales', 'drone', 'error']","['XXXYX', 'XGYXY', 'GGGGG']","[165, 1, 1]"
4,"['tales', 'plouk', 'shyly', 'swirl']","['XXYXY', 'XYXXX', 'GXXYX', 'GGGGG']","[28, 3, 1, 1]"
4,"['tales', 'beard', 'creak', 'argue']","['XYXYX', 'XYYYX', 'XGYYX', 'GGGGG']","[83, 6, 1, 1]"
4,"['tales', 'livor', 'bleep', 'bleed']","['XXYGX', 'YXXXX', 'GGGGX', 'GGGGG']","[43, 9, 1, 1]"
2,"['tales', 'delta']","['YYGYX', 'GGGGG']","[2, 2]"
3,"['tales', 'courd', 'flick']","['XXYXX', 'YXXXX', 'GGGGG']","[99, 3, 3]"
3,"['tales', 'timer', 'totem']","['GXXGX', 'GXYGX', 'GGGGG']","[15, 1, 1]"
4,"['tales', 'nidor', 'mower', 'wooer']","['XXXGX', 'XXXYG', 'XGYGG', 'GGGGG']","[107, 17, 1, 1]"
4,"['tales', 'routh', 'droit', 'front']","['YXXXX', 'YYXYX', 'XGGXG', 'GGGGG']","[87, 4, 1, 1]"
4,"['tales', 'prion', 'scrub', 'shrub']","['XXXXY', 'XYXXX', 'GXGGG', 'GGGGG']","[88, 4, 1, 1]"
4,"['tales', 'corny', 'harpy', 'parry']","['XGXXX', 'XXGXG', 'XGGYG', 'GGGGG']","[82, 5, 1, 1]"
3,"['tales', 'drone', 'biome']","['XXXYX', 'XXGXG', 'GGGGG']","[165, 4, 4]"
4,"['tales', 'lager', 'label', 'lapel']","['XGYGX', 'GGXGX', 'GGXGG', 'GGGGG']","[11, 3, 1, 1]"
4,"['tales', 'starn', 'stark', 'start']","['YYXXY', 'GGGGX', 'GGGGX', 'GGGGG']","[26, 2, 1, 1]"
4,"['tales', 'mohur', 'egret', 'greet']","['YXXGX', 'XXXXY', 'YYYGG', 'GGGGG']","[22, 4, 1, 1]"
3,"['tales', 'nidor', 'goner']","['XXXGX', 'YXXYG', 'GGGGG']","[107, 2, 2]"
3,"['tales', 'filer', 'golem']","['XXGGX', 'XXGGX', 'GGGGG']","[5, 2, 2]"
3,"['tales', 'still', 'lusty']","['YXYXY', 'YYXYY', 'GGGGG']","[6, 1, 1]"
4,"['tales', 'courd', 'wooly', 'loopy']","['XXYXX', 'XGXXX', 'XGGYG', 'GGGGG']","[99, 6, 1, 1]"
3,"['tales', 'cornu', 'round']","['XXXXX', 'XGYGY', 'GGGGG']","[221, 1, 1]"
3,"['tales', 'crout', 'audit']","['YYXXX', 'XXXYG', 'GGGGG']","[27, 1, 1]"
4,"['tales', 'courd', 'fling', 'lying']","['XXYXX', 'XXXXX', 'XYGGG', 'GGGGG']","[99, 9, 1, 1]"
3,"['tales', 'corny', 'gamma']","['XGXXX', 'XXXXX', 'GGGGG']","[82, 8, 8]"
3,"['tales', 'banal', 'labor']","['XGYXX', 'YGXYY', 'GGGGG']","[18, 1, 1]"
2,"['tales', 'islet']","['YXGGY', 'GGGGG']","[1, 1]"
4,"['tales', 'cornu', 'chick', 'civic']","['XXXXX', 'GXXXX', 'GXYYX', 'GGGGG']","[221, 2, 1, 1]"
3,"['tales', 'drone', 'forge']","['XXXYX', 'XYYXG', 'GGGGG']","[165, 6, 6]"
3,"['tales', 'cornu', 'corny']","['XXXXX', 'GGGGX', 'GGGGG']","[221, 1, 1]"
3,"['tales', 'flint', 'moult']","['YXYXX', 'XYXXG', 'GGGGG']","[18, 1, 1]"
3,"['tales', 'pansy', 'basic']","['XGXXY', 'XGXYX', 'GGGGG']","[17, 2, 2]"
4,"['tales', 'palsy', 'salon', 'salad']","['XGGXY', 'XGGYX', 'GGGXX', 'GGGGG']","[6, 3, 1, 1]"
4,"['tales', 'heart', 'abate', 'agate']","['YYXYX', 'XYGXY', 'GXGGG', 'GGGGG']","[24, 3, 1, 1]"
4,"['tales', 'prion', 'skimp', 'spicy']","['XXXXY', 'YXGXX', 'GXGXY', 'GGGGG']","[88, 3, 1, 1]"
4,"['tales', 'churn', 'grasp', 'spray']","['XYXXY', 'XXXYX', 'XYYYY', 'GGGGG']","[42, 2, 1, 1]"
4,"['tales', 'sharp', 'abuse', 'essay']","['XYXYY', 'YXYXX', 'YXXYY', 'GGGGG']","[33, 4, 1, 1]"
4,"['tales', 'cornu', 'brood', 'fjord']","['XXXXX', 'XYYXX', 'XYGYG', 'GGGGG']","[221, 14, 1, 1]"
3,"['tales', 'porin', 'spend']","['XXXYY', 'YXXXY', 'GGGGG']","[69, 1, 1]"
3,"['tales', 'beard', 'kebab']","['XYXYX', 'YGYXX', 'GGGGG']","[83, 1, 1]"
4,"['tales', 'courd', 'build', 'guild']","['XXYXX', 'XXYXG', 'XGGGG', 'GGGGG']","[99, 2, 1, 1]"
3,"['tales', 'brond', 'aback']","['XYXXX', 'YXXXX', 'GGGGG']","[102, 1, 1]"
3,"['tales', 'routh', 'motor']","['YXXXX', 'YGXYX', 'GGGGG']","[87, 1, 1]"
4,"['tales', 'glare', 'alike', 'alone']","['XYYYX', 'XGYXG', 'GGXXG', 'GGGGG']","[49, 3, 1, 1]"
5,"['tales', 'pitch', 'batch', 'catch', 'hatch']","['YGXXX', 'XXGGG', 'XGGGG', 'YGGGG', 'GGGGG']","[31, 5, 4, 3, 3]"
4,"['tales', 'nidor', 'buyer', 'hyper']","['XXXGX', 'XXXXG', 'XXYGG', 'GGGGG']","[107, 12, 1, 1]"
3,"['tales', 'choir', 'thumb']","['GXXXX', 'XGXXX', 'GGGGG']","[36, 2, 2]"
3,"['tales', 'cornu', 'dowry']","['XXXXX', 'XGYXX', 'GGGGG']","[221, 3, 3]"
3,"['tales', 'routh', 'ought']","['YXXXX', 'XYYYY', 'GGGGG']","[87, 1, 1]"
3,"['tales', 'hello', 'belch']","['XXGYX', 'YGGYX', 'GGGGG']","[16, 2, 2]"
4,"['tales', 'routh', 'butch', 'dutch']","['YXXXX', 'XXYYG', 'XGGGG', 'GGGGG']","[87, 3, 2, 2]"
3,"['tales', 'filth', 'pilot']","['YXGXX', 'XGGYX', 'GGGGG']","[3, 1, 1]"
4,"['tales', 'timer', 'tenet', 'tweed']","['GXXGX', 'GXXGX', 'GYXGY', 'GGGGG']","[15, 5, 1, 1]"
3,"['tales', 'mohur', 'comet']","['YXXGX', 'YGXXX', 'GGGGG']","[22, 1, 1]"
5,"['tales', 'pitch', 'gamut', 'daunt', 'jaunt']","['YGXXX', 'XXYXX', 'XGXYG', 'XGGGG', 'GGGGG']","[31, 6, 3, 2, 2]"
3,"['tales', 'beard', 'enema']","['XYXYX', 'XYYXX', 'GGGGG']","[83, 7, 7]"
3,"['tales', 'reset', 'steed']","['YXXGY', 'XYYGY', 'GGGGG']","[11, 2, 2]"
3,"['tales', 'brass', 'abyss']","['XYXXG', 'YXYGG', 'GGGGG']","[7, 1, 1]"
3,"['tales', 'courd', 'growl']","['XXYXX', 'XYXYX', 'GGGGG']","[99, 4, 4]"
3,"['tales', 'courd', 'fling']","['XXYXX', 'XXXXX', 'GGGGG']","[99, 9, 9]"
3,"['tales', 'nidor', 'dozen']","['XXXGX', 'YXYYX', 'GGGGG']","[107, 1, 1]"
5,"['tales', 'cornu', 'goody', 'booby', 'boozy']","['XXXXX', 'XGXXX', 'XGGXG', 'GGGYG', 'GGGGG']","[221, 14, 3, 1, 1]"
3,"['tales', 'drone', 'erode']","['XXXYX', 'YGGXG', 'GGGGG']","[165, 1, 1]"
3,"['tales', 'courd', 'world']","['XXYXX', 'XGXYG', 'GGGGG']","[99, 1, 1]"
4,"['tales', 'drone', 'coupe', 'gouge']","['XXXYX', 'XXYXG', 'XGGXG', 'GGGGG']","[165, 5, 1, 1]"
4,"['tales', 'courd', 'clink', 'click']","['XXYXX', 'GXXXX', 'GGGXG', 'GGGGG']","[99, 8, 1, 1]"
3,"['tales', 'brond', 'briar']","['XYXXX', 'GGXXX', 'GGGGG']","[102, 1, 1]"
3,"['tales', 'heart', 'great']","['YYXYX', 'XYYYG', 'GGGGG']","[24, 1, 1]"
3,"['tales', 'bloat', 'altar']","['YYYXX', 'XGXGY', 'GGGGG']","[14, 1, 1]"
4,"['tales', 'doily', 'bulky', 'pulpy']","['XXGXX', 'XXXYG', 'XGGXG', 'GGGGG']","[27, 2, 1, 1]"
3,"['tales', 'flint', 'blurt']","['YXYXX', 'XGXXG', 'GGGGG']","[18, 2, 2]"
4,"['tales', 'starn', 'boast', 'coast']","['YYXXY', 'YYGXX', 'XGGGG', 'GGGGG']","[26, 2, 1, 1]"
4,"['tales', 'cornu', 'mucky', 'duchy']","['XXXXX', 'YXXXY', 'XGGXG', 'GGGGG']","[221, 5, 1, 1]"
4,"['tales', 'cornu', 'brown', 'groin']","['XXXXX', 'XYYYX', 'XGGXG', 'GGGGG']","[221, 6, 1, 1]"
5,"['tales', 'nidor', 'river', 'fiber', 'fixer']","['XXXGX', 'XGXXG', 'YGXGG', 'GGXGG', 'GGGGG']","[107, 7, 3, 1, 1]"
3,"['tales', 'cornu', 'group']","['XXXXX', 'XYYXY', 'GGGGG']","[221, 4, 4]"
4,"['tales', 'drone', 'forge', 'rogue']","['XXXYX', 'XYYXG', 'XGYYG', 'GGGGG']","[165, 6, 1, 1]"
3,"['tales', 'banal', 'badly']","['XGYXX', 'GGXYY', 'GGGGG']","[18, 1, 1]"
3,"['tales', 'starn', 'smart']","['YYXXY', 'GYGGX', 'GGGGG']","[26, 1, 1]"
4,"['tales', 'routh', 'fight', 'pithy']","['YXXXX', 'XXXYY', 'XGXGY', 'GGGGG']","[87, 6, 1, 1]"
5,"['tales', 'corny', 'bawdy', 'daddy', 'gaudy']","['XGXXX', 'XXXXG', 'XGXGG', 'YGYGG', 'GGGGG']","[82, 9, 3, 1, 1]"
5,"['tales', 'courd', 'clink', 'chili', 'chill']","['XXYXX', 'GXXXX', 'GYGXX', 'GGGGY', 'GGGGG']","[99, 8, 2, 1, 1]"
3,"['tales', 'drone', 'heron']","['XXXYX', 'XYYYY', 'GGGGG']","[165, 1, 1]"
4,"['tales', 'brond', 'audio', 'vodka']","['XYXXX', 'XXYXY', 'YXGXY', 'GGGGG']","[102, 3, 1, 1]"
3,"['tales', 'nidor', 'finer']","['XXXGX', 'YGXXG', 'GGGGG']","[107, 2, 2]"
4,"['tales', 'sweir', 'super', 'surer']","['XXXGY', 'GXYXG', 'GGXGG', 'GGGGG']","[31, 4, 1, 1]"
4,"['tales', 'corny', 'favor', 'radio']","['XGXXX', 'XYYXX', 'XGXYY', 'GGGGG']","[82, 5, 1, 1]"
4,"['tales', 'drone', 'forge', 'rouge']","['XXXYX', 'XYYXG', 'XGYGG', 'GGGGG']","[165, 6, 1, 1]"
4,"['tales', 'drone', 'ferry', 'perch']","['XXXYX', 'XYXXY', 'XGGYX', 'GGGGG']","[165, 12, 1, 1]"
3,"['tales', 'recit', 'retch']","['YXXYX', 'GGYXY', 'GGGGG']","[52, 1, 1]"
4,"['tales', 'recit', 'brute', 'wrote']","['YXXYX', 'YYXXY', 'XGXGG', 'GGGGG']","[52, 4, 1, 1]"
3,"['tales', 'courd', 'clock']","['XXYXX', 'GYXXX', 'GGGGG']","[99, 2, 2]"
2,"['tales', 'tilde']","['GXGYX', 'GGGGG']","[2, 2]"
3,"['tales', 'print', 'store']","['YXXYY', 'XYXXY', 'GGGGG']","[23, 1, 1]"
4,"['tales', 'drone', 'probe', 'prove']","['XXXYX', 'XGGXG', 'GGGXG', 'GGGGG']","[165, 6, 1, 1]"
3,"['tales', 'cornu', 'bring']","['XXXXX', 'XXYGX', 'GGGGG']","[221, 6, 6]"
3,"['tales', 'pulse', 'solve']","['XXGYY', 'XXGYG', 'GGGGG']","[3, 1, 1]"
