steps,words,feedback,ncands
4,"['reais', 'cline', 'liken', 'linen']","['XYXYX', 'XYYYY', 'GGXGG', 'GGGGG']","[74, 3, 1, 1]"
4,"['reais', 'noble', 'unfed', 'unmet']","['XYXXX', 'YXXXY', 'GGXGX', 'GGGGG']","[121, 8, 1, 1]"
3,"['reais', 'sloth', 'flesh']","['XYXXY', 'YGXXG', 'GGGGG']","[67, 1, 1]"
4,"['reais', 'bludy', 'bobby', 'booby']","['XXXXX', 'GXXXG', 'GGYGG', 'GGGGG']","[168, 4, 1, 1]"
4,"['reais', 'uncoy', 'growl', 'forth']","['YXXXX', 'XXXYX', 'XYYXX', 'GGGGG']","[103, 12, 2, 2]"
3,"['reais', 'skirt', 'first']","['YXXYY', 'YXYYG', 'GGGGG']","[12, 1, 1]"
3,"['reais', 'cloth', 'stand']","['XXGXY', 'XXXYX', 'GGGGG']","[50, 4, 4]"
3,"['reais', 'lythe', 'belly']","['XGXXX', 'YYXXY', 'GGGGG']","[61, 3, 3]"
3,"['reais', 'tronk', 'ivory']","['YXXYX', 'XYGXX', 'GGGGG']","[41, 1, 1]"
4,"['reais', 'setup', 'semen', 'seedy']","['XGXXY', 'GGXXX', 'GGXYX', 'GGGGG']","[15, 4, 1, 1]"
3,"['reais', 'tronk', 'print']","['YXXYX', 'YGXGX', 'GGGGG']","[41, 1, 1]"
3,"['reais', 'teary', 'yearn']","['YGGXX', 'XGGGY', 'GGGGG']","[8, 1, 1]"
4,"['reais', 'train', 'brain', 'drain']","['YXGGX', 'XGGGG', 'XGGGG', 'GGGGG']","[11, 3, 2, 2]"
4,"['reais', 'pined', 'tribe', 'bribe']","['YYXYX', 'XYXYX', 'XGGGG', 'GGGGG']","[53, 7, 1, 1]"
6,"['reais', 'muton', 'scout', 'shout', 'spout', 'stout']","['XXXXY', 'XYYYX', 'GXGGG', 'GXGGG', 'GXGGG', 'GGGGG']","[89, 6, 3, 2, 1, 1]"
4,"['reais', 'laten', 'navel', 'panel']","['XYYXX', 'YGXGY', 'YGXGG', 'GGGGG']","[90, 2, 1, 1]"
3,"['reais', 'brass', 'crass']","['YXGXG', 'XGGGG', 'GGGGG']","[3, 2, 2]"
4,"['reais', 'noble', 'fluke', 'flume']","['XYXXX', 'XXXYG', 'GGGXG', 'GGGGG']","[121, 5, 2, 2]"
4,"['reais', 'canty', 'afoul', 'offal']","['XXYXX', 'XYXXX', 'YGYXG', 'GGGGG']","[150, 14, 1, 1]"
3,"['reais', 'aglet', 'agree']","['YYYXX', 'GGXGX', 'GGGGG']","[57, 1, 1]"
4,"['reais', 'coted', 'probe', 'error']","['YYXXX', 'XYXYX', 'XGYXY', 'GGGGG']","[108, 9, 1, 1]"
3,"['reais', 'skirt', 'swirl']","['YXXYY', 'GXGGX', 'GGGGG']","[12, 1, 1]"
3,"['reais', 'aglet', 'argue']","['YYYXX', 'GYXYX', 'GGGGG']","[57, 1, 1]"
3,"['reais', 'noble', 'bleed']","['XYXXX', 'XXYYY', 'GGGGG']","[121, 2, 2]"
2,"['reais', 'delta']","['XGYXX', 'GGGGG']","[19, 19]"
3,"['reais', 'clint', 'flick']","['XXXYX', 'YGGXX', 'GGGGG']","[118, 1, 1]"
4,"['reais', 'noble', 'comet', 'totem']","['XYXXX', 'XGXXY', 'XGYGY', 'GGGGG']","[121, 7, 1, 1]"
4,"['reais', 'coted', 'mower', 'wooer']","['YYXXX', 'XGXGX', 'XGYGG', 'GGGGG']","[108, 13, 1, 1]"
4,"['reais', 'uncoy', 'frond', 'front']","['YXXXX', 'XYXYX', 'GGGGX', 'GGGGG']","[103, 10, 1, 1]"
3,"['reais', 'shout', 'shrub']","['YXXXY', 'GGXGX', 'GGGGG']","[32, 2, 2]"
4,"['reais', 'cymol', 'harpy', 'parry']","['YXYXX', 'XYXXX', 'XGGYG', 'GGGGG']","[60, 9, 2, 2]"
3,"['reais', 'cline', 'biome']","['XYXYX', 'XXYXG', 'GGGGG']","[74, 6, 6]"
4,"['reais', 'laten', 'label', 'lapel']","['XYYXX', 'GGXGX', 'GGXGG', 'GGGGG']","[90, 2, 1, 1]"
4,"['reais', 'trash', 'smart', 'start']","['YXGXY', 'YYGYX', 'GXGGG', 'GGGGG']","[15, 3, 1, 1]"
4,"['reais', 'coted', 'egret', 'greet']","['YYXXX', 'XXYGX', 'YYYGG', 'GGGGG']","[108, 7, 1, 1]"
8,"['reais', 'coted', 'mower', 'hover', 'joker', 'boxer', 'foyer', 'goner']","['YYXXX', 'XGXGX', 'XGXGG', 'XGXGG', 'XGXGG', 'XGXGG', 'XGXGG', 'GGGGG']","[108, 13, 7, 5, 3, 2, 1, 1]"
4,"['reais', 'noble', 'towel', 'golem']","['XYXXX', 'XGXYY', 'XGXGY', 'GGGGG']","[121, 8, 1, 1]"
5,"['reais', 'muton', 'dusty', 'gusty', 'lusty']","['XXXXY', 'XGYXX', 'XGGGG', 'XGGGG', 'GGGGG']","[89, 3, 2, 1, 1]"
5,"['reais', 'bludy', 'holly', 'lofty', 'loopy']","['XXXXX', 'XYXXG', 'XGYYG', 'GGXXG', 'GGGGG']","[168, 10, 2, 1, 1]"
3,"['reais', 'ruddy', 'round']","['GXXXX', 'GYYYX', 'GGGGG']","[10, 1, 1]"
3,"['reais', 'compt', 'audit']","['XXYGX', 'XXXXG', 'GGGGG']","[24, 2, 2]"
3,"['reais', 'clint', 'lying']","['XXXYX', 'XYGGX', 'GGGGG']","[118, 1, 1]"
3,"['reais', 'canty', 'gamma']","['XXYXX', 'XGXXX', 'GGGGG']","[150, 8, 8]"
3,"['reais', 'cymol', 'labor']","['YXYXX', 'XXXGY', 'GGGGG']","[60, 2, 2]"
3,"['reais', 'pling', 'islet']","['XYXYY', 'XYYXX', 'GGGGG']","[28, 1, 1]"
4,"['reais', 'coled', 'cumin', 'civic']","['XXXGX', 'GXXXX', 'GXXGX', 'GGGGG']","[40, 4, 1, 1]"
3,"['reais', 'coted', 'forge']","['YYXXX', 'XGXYX', 'GGGGG']","[108, 3, 3]"
3,"['reais', 'uncoy', 'corny']","['YXXXX', 'XYYYG', 'GGGGG']","[103, 2, 2]"
3,"['reais', 'bludy', 'moult']","['XXXXX', 'XYGXX', 'GGGGG']","[168, 1, 1]"
2,"['reais', 'basic']","['XXYGY', 'GGGGG']","[4, 4]"
4,"['reais', 'slype', 'salon', 'salad']","['XXYXY', 'GYXXX', 'GGGXX', 'GGGGG']","[37, 5, 2, 2]"
3,"['reais', 'glift', 'agate']","['XYGXX', 'YXXXY', 'GGGGG']","[26, 1, 1]"
4,"['reais', 'skint', 'spill', 'spicy']","['XXXYY', 'GXGXX', 'GGGXX', 'GGGGG']","[53, 5, 1, 1]"
3,"['reais', 'satyr', 'spray']","['YXYXY', 'GYXYY', 'GGGGG']","[15, 1, 1]"
