steps,words,feedback,ncands
7,"['lores', 'ayont', 'bound', 'found', 'hound', 'mound', 'pound']","['XGXXX', 'XXYGX', 'XGGGG', 'XGGGG', 'XGGGG', 'XGGGG', 'GGGGG']","[76, 8, 5, 4, 3, 2, 2]"
5,"['lores', 'daint', 'mafia', 'magic', 'maxim']","['XXXXX', 'XGYXX', 'GGXGY', 'GGXGX', 'GGGGG']","[215, 3, 2, 1, 1]"
4,"['lores', 'libel', 'liken', 'linen']","['GXXGX', 'GGXGY', 'GGXGG', 'GGGGG']","[8, 2, 1, 1]"
4,"['lores', 'daint', 'tenet', 'unmet']","['XXXGX', 'XXXYG', 'YYYGG', 'GGGGG']","[37, 2, 1, 1]"
3,"['lores', 'thaim', 'flesh']","['YXXYY', 'XYXXX', 'GGGGG']","[25, 2, 2]"
4,"['lores', 'ayont', 'goody', 'booby']","['XGXXX', 'XYGXX', 'XGGXG', 'GGGGG']","[76, 7, 3, 3]"
3,"['lores', 'forty', 'forth']","['XGGXX', 'GGGGX', 'GGGGG']","[17, 1, 1]"
4,"['lores', 'scrap', 'burst', 'first']","['XXGXY', 'YXGXX', 'XXGGG', 'GGGGG']","[18, 2, 1, 1]"
3,"['lores', 'snath', 'stand']","['XXXXY', 'GYGYX', 'GGGGG']","[122, 4, 4]"
4,"['lores', 'blade', 'belch', 'belly']","['YXXYX', 'GYXXY', 'GGGXX', 'GGGGG']","[101, 2, 1, 1]"
4,"['lores', 'capon', 'droit', 'ivory']","['XYYXX', 'XXXYX', 'XYGYX', 'GGGGG']","[78, 9, 1, 1]"
4,"['lores', 'saith', 'scene', 'seedy']","['XXXYY', 'GXXXX', 'GXGXY', 'GGGGG']","[88, 6, 1, 1]"
4,"['lores', 'diact', 'fruit', 'print']","['XXYXX', 'XYXXG', 'XGXYG', 'GGGGG']","[109, 2, 1, 1]"
4,"['lores', 'tragi', 'ready', 'yearn']","['XXYYX', 'XYGXX', 'YGGXY', 'GGGGG']","[111, 8, 1, 1]"
3,"['lores', 'diact', 'drain']","['XXYXX', 'GYGXX', 'GGGGG']","[109, 1, 1]"
