steps,words,feedback,ncands
7,"['lores', 'dancy', 'bound', 'found', 'hound', 'mound', 'pound']","['XGXXX', 'YXYXX', 'XGGGG', 'XGGGG', 'XGGGG', 'XGGGG', 'GGGGG']","[76, 6, 5, 4, 3, 2, 2]"
4,"['lores', 'hiant', 'affix', 'maxim']","['XXXXX', 'XYYXX', 'YXXGY', 'GGGGG']","[215, 5, 1, 1]"
4,"['lores', 'label', 'liken', 'linen']","['GXXGX', 'GXXGY', 'GGXGG', 'GGGGG']","[8, 3, 1, 1]"
4,"['lores', 'daint', 'tenet', 'unmet']","['XXXGX', 'XXXYG', 'YYYGG', 'GGGGG']","[37, 2, 1, 1]"
3,"['lores', 'smalt', 'flesh']","['YXXYY', 'YXXYX', 'GGGGG']","[25, 3, 3]"
4,"['lores', 'dancy', 'booty', 'booby']","['XGXXX', 'XXXXG', 'GGGXG', 'GGGGG']","[76, 10, 2, 2]"
2,"['lores', 'forth']","['XGGXX', 'GGGGG']","[17, 17]"
4,"['lores', 'strap', 'burst', 'first']","['XXGXY', 'YYGXX', 'XXGGG', 'GGGGG']","[18, 2, 1, 1]"
3,"['lores', 'hiant', 'stand']","['XXXXY', 'XXGGY', 'GGGGG']","[122, 2, 2]"
4,"['lores', 'diact', 'belle', 'belly']","['YXXYX', 'XXXXX', 'GGGGY', 'GGGGG']","[101, 12, 1, 1]"
4,"['lores', 'canid', 'vigor', 'ivory']","['XYYXX', 'XXXYX', 'YYXYY', 'GGGGG']","[78, 5, 1, 1]"
4,"['lores', 'spait', 'scene', 'seedy']","['XXXYY', 'GXXXX', 'GXGXY', 'GGGGG']","[88, 4, 1, 1]"
3,"['lores', 'daint', 'print']","['XXYXX', 'XXGGG', 'GGGGG']","[109, 1, 1]"
5,"['lores', 'diact', 'grave', 'weary', 'yearn']","['XXYYX', 'XXGXX', 'XYGXY', 'XGGGY', 'GGGGG']","[111, 10, 3, 1, 1]"
3,"['lores', 'daint', 'drain']","['XXYXX', 'GYYYX', 'GGGGG']","[109, 1, 1]"
4,"['lores', 'diact', 'prime', 'bribe']","['XXYYX', 'XYXXX', 'XGGXG', 'GGGGG']","[111, 8, 3, 3]"
5,"['lores', 'pinot', 'ghost', 'scout', 'stout']","['XYXXY', 'XXXYG', 'XXGYG', 'GXGGG', 'GGGGG']","[37, 4, 2, 1, 1]"
