count,mean,std,min,25%,50%,75%,max,word1,word2,iter_2_or_less,iter_3,iter_4,iter_5,iter_6,fail
2315.0,4.23585313174946,1.0520639035937578,3.0,4.0,4.0,5.0,11.0,cares,doily,0.0,0.24017278617710583,0.43326133909287257,0.22721382289416847,0.06565874730021598,0.033693304535637146
2315.0,4.247084233261339,1.004455893288511,2.0,4.0,4.0,5.0,10.0,cares,pouty,0.00043196544276457883,0.2224622030237581,0.4406047516198704,0.24276457883369332,0.0630669546436285,0.030669546436285097
2315.0,4.2069114470842335,1.003427448865554,3.0,4.0,4.0,5.0,10.0,cares,poind,0.0,0.24449244060475162,0.43369330453563715,0.22591792656587473,0.07257019438444924,0.023326133909287255
2315.0,4.30755939524838,1.0470805011452746,3.0,4.0,4.0,5.0,10.0,cares,gouty,0.0,0.21079913606911446,0.4319654427645788,0.24665226781857452,0.07473002159827213,0.035853131749460046
2315.0,4.273002159827214,1.09360177301352,3.0,4.0,4.0,5.0,12.0,cares,noily,0.0,0.2384449244060475,0.4215982721382289,0.2263498920086393,0.07645788336933046,0.037149028077753776
2315.0,4.109287257019439,1.001586969798459,2.0,3.0,4.0,5.0,10.0,cares,point,0.00043196544276457883,0.28682505399568037,0.43326133909287257,0.19654427645788336,0.057883369330453564,0.025053995680345574
2315.0,4.088120950323974,0.9904521125557446,3.0,3.0,4.0,5.0,11.0,cares,doilt,0.0,0.28812095032397406,0.4449244060475162,0.1939524838012959,0.04794816414686825,0.025053995680345574
2315.0,4.2924406047516195,1.0614274464638613,3.0,4.0,4.0,5.0,11.0,cares,piony,0.0,0.22764578833693305,0.4146868250539957,0.24276457883369332,0.08120950323974083,0.033693304535637146
2315.0,4.273434125269978,1.041887663986138,2.0,4.0,4.0,5.0,11.0,cares,bound,0.00043196544276457883,0.22289416846652269,0.4289416846652268,0.24535637149028078,0.07213822894168466,0.03023758099352052
2315.0,4.224622030237581,0.9928866587613513,2.0,4.0,4.0,5.0,10.0,cares,pound,0.00043196544276457883,0.23110151187904968,0.43974082073434123,0.2345572354211663,0.06911447084233262,0.025053995680345574
2315.0,4.2924406047516195,1.054483310493936,3.0,4.0,4.0,5.0,12.0,bares,doily,0.0,0.2203023758099352,0.42289416846652267,0.252267818574514,0.06997840172786177,0.03455723542116631
2315.0,4.301943844492441,1.0141482396512849,2.0,4.0,4.0,5.0,11.0,bares,pouty,0.00043196544276457883,0.20388768898488122,0.4375809935205184,0.24838012958963282,0.08207343412526998,0.027645788336933045
2315.0,4.250107991360691,0.9900515236328667,3.0,4.0,4.0,5.0,11.0,bares,poind,0.0,0.22203023758099352,0.4349892008639309,0.24535637149028078,0.07516198704103672,0.0224622030237581
2315.0,4.354643628509719,1.061594335346958,3.0,4.0,4.0,5.0,10.0,bares,gouty,0.0,0.19740820734341252,0.4272138228941685,0.25140388768898486,0.0876889848812095,0.03628509719222462
2315.0,4.310151187904967,1.0647392154130837,3.0,4.0,4.0,5.0,13.0,bares,noily,0.0,0.20907127429805616,0.43412526997840173,0.2505399568034557,0.07084233261339093,0.035421166306695465
2315.0,4.160259179265659,0.9903475037881772,2.0,3.0,4.0,5.0,11.0,bares,point,0.00043196544276457883,0.25615550755939526,0.4431965442764579,0.21684665226781857,0.06047516198704104,0.022894168466522678
2315.0,4.1494600431965445,0.9835041388428236,3.0,3.0,4.0,5.0,11.0,bares,doilt,0.0,0.2548596112311015,0.4526997840172786,0.21814254859611232,0.047516198704103674,0.02678185745140389
2315.0,4.305831533477321,1.0355544726454151,3.0,4.0,4.0,5.0,12.0,bares,piony,0.0,0.20734341252699784,0.43412526997840173,0.24924406047516198,0.07775377969762419,0.03153347732181425
2315.0,4.266522678185745,1.0445056287319145,2.0,4.0,4.0,5.0,11.0,bares,could,0.00043196544276457883,0.22332613390928727,0.43412526997840173,0.24449244060475162,0.0630669546436285,0.03455723542116631
2315.0,4.222030237580993,1.048082675084853,3.0,4.0,4.0,5.0,12.0,bares,colin,0.0,0.24665226781857452,0.4285097192224622,0.22894168466522677,0.06436285097192225,0.03153347732181425
2315.0,4.249244060475162,1.012707969636708,3.0,4.0,4.0,5.0,11.0,pares,doily,0.0,0.2263498920086393,0.4349892008639309,0.2406047516198704,0.07041036717062635,0.027645788336933045
2315.0,4.30755939524838,1.008395550491119,3.0,4.0,4.0,5.0,9.0,pares,gouty,0.0,0.20475161987041038,0.43153347732181424,0.252267818574514,0.08380129589632829,0.027645788336933045
2315.0,4.264794816414687,1.0206766396557194,3.0,4.0,4.0,5.0,12.0,pares,noily,0.0,0.2185745140388769,0.44146868250539956,0.2371490280777538,0.07516198704103672,0.027645788336933045
2315.0,4.09719222462203,0.9364259620000559,3.0,3.0,4.0,5.0,11.0,pares,doilt,0.0,0.26436285097192225,0.4660907127429806,0.2043196544276458,0.045788336933045355,0.019438444924406047
2315.0,4.259611231101512,0.9596378355023051,2.0,4.0,4.0,5.0,11.0,pares,bound,0.00043196544276457883,0.20647948164146868,0.44665226781857453,0.25183585313174944,0.07516198704103672,0.019438444924406047
2315.0,4.208207343412527,0.9789584141812402,2.0,4.0,4.0,5.0,11.0,pares,could,0.00043196544276457883,0.2302375809935205,0.44622030237580995,0.23930885529157667,0.06220302375809935,0.02159827213822894
2315.0,4.175809935205184,1.0119094960341015,3.0,3.0,4.0,5.0,11.0,pares,colin,0.0,0.2591792656587473,0.432829373650108,0.216414686825054,0.06781857451403887,0.023758099352051837
