steps,words,feedback,ncands
5,"['crane', 'timon', 'given', 'liken', 'linen']","['XXXYY', 'XGXXG', 'XGXGG', 'GGXGG', 'GGGGG']","[58, 5, 3, 1, 1]"
3,"['crane', 'timon', 'unmet']","['XXXYY', 'YXGXY', 'GGGGG']","[58, 1, 1]"
4,"['crane', 'spilt', 'bless', 'flesh']","['XXXXY', 'YXXYX', 'XGGGY', 'GGGGG']","[127, 3, 1, 1]"
5,"['crane', 'slipt', 'budge', 'bobby', 'booby']","['XXXXX', 'XXXXX', 'GXXXX', 'GGYGG', 'GGGGG']","[263, 25, 3, 1, 1]"
3,"['crane', 'shout', 'forth']","['XYXXX', 'XYYXY', 'GGGGG']","[90, 2, 2]"
3,"['crane', 'shout', 'first']","['XYXXX', 'YXXXG', 'GGGGG']","[90, 1, 1]"
3,"['crane', 'stank', 'stand']","['XXGGX', 'GGGGX', 'GGGGG']","[16, 1, 1]"
3,"['crane', 'spilt', 'belly']","['XXXXY', 'XXXGX', 'GGGGG']","[127, 5, 5]"
4,"['crane', 'shout', 'glory', 'ivory']","['XYXXX', 'XXGXX', 'XXGGG', 'GGGGG']","[90, 5, 1, 1]"
3,"['crane', 'spilt', 'seedy']","['XXXXY', 'GXXXX', 'GGGGG']","[127, 1, 1]"
4,"['crane', 'grind', 'brink', 'print']","['XGXGX', 'XGGGX', 'XGGGX', 'GGGGG']","[17, 3, 1, 1]"
3,"['crane', 'learn', 'yearn']","['XYGYY', 'XGGGG', 'GGGGG']","[2, 1, 1]"
3,"['crane', 'brain', 'drain']","['XGGYX', 'XGGGG', 'GGGGG']","[7, 3, 3]"
3,"['crane', 'pivot', 'bribe']","['XGXXG', 'XYXXX', 'GGGGG']","[26, 3, 3]"
4,"['crane', 'slipt', 'shoot', 'stout']","['XXXXX', 'GXXXG', 'GXGYG', 'GGGGG']","[263, 3, 1, 1]"
4,"['crane', 'elvan', 'angel', 'panel']","['XXYYY', 'YYXYY', 'YYXGG', 'GGGGG']","[21, 2, 1, 1]"
3,"['crane', 'crash', 'crass']","['GGGXX', 'GGGGX', 'GGGGG']","[7, 1, 1]"
3,"['crane', 'toils', 'flume']","['XXXXG', 'XXXYX', 'GGGGG']","[102, 8, 8]"
4,"['crane', 'toils', 'allow', 'offal']","['XXYXX', 'XYXYX', 'YYYYX', 'GGGGG']","[134, 7, 1, 1]"
3,"['crane', 'barge', 'agree']","['XYYXG', 'XYGYG', 'GGGGG']","[8, 1, 1]"
3,"['crane', 'diets', 'error']","['XGXXY', 'XXYXX', 'GGGGG']","[22, 2, 2]"
4,"['crane', 'shout', 'smirk', 'swirl']","['XYXXX', 'GXXXX', 'GXGGX', 'GGGGG']","[90, 3, 1, 1]"
3,"['crane', 'arise', 'argue']","['XGYXG', 'GGXXG', 'GGGGG']","[3, 1, 1]"
4,"['crane', 'spilt', 'bevel', 'bleed']","['XXXXY', 'XXXYX', 'GYXGY', 'GGGGG']","[127, 16, 1, 1]"
3,"['crane', 'tepal', 'delta']","['XXYXY', 'YGXYY', 'GGGGG']","[46, 1, 1]"
3,"['crane', 'kutis', 'flick']","['YXXXX', 'YXXYX', 'GGGGG']","[55, 2, 2]"
4,"['crane', 'spilt', 'jetty', 'totem']","['XXXXY', 'XXXXY', 'XYGYX', 'GGGGG']","[127, 7, 1, 1]"
4,"['crane', 'rosit', 'mower', 'wooer']","['XYXXY', 'YGXXX', 'XGYGG', 'GGGGG']","[122, 12, 1, 1]"
4,"['crane', 'grind', 'brunt', 'front']","['XGXGX', 'XGXGX', 'XGXGG', 'GGGGG']","[17, 3, 1, 1]"
3,"['crane', 'shout', 'shrub']","['XYXXX', 'GGXGX', 'GGGGG']","[90, 2, 2]"
3,"['crane', 'parol', 'parry']","['XYYXX', 'GGGXX', 'GGGGG']","[65, 3, 3]"
3,"['crane', 'toils', 'biome']","['XXXXG', 'XYYXX', 'GGGGG']","[102, 2, 2]"
3,"['crane', 'tepal', 'lapel']","['XXYXY', 'XYGYG', 'GGGGG']","[46, 1, 1]"
4,"['crane', 'shtik', 'smart', 'start']","['XYGXX', 'GXYXX', 'GXGGG', 'GGGGG']","[24, 2, 1, 1]"
3,"['crane', 'diets', 'greet']","['XGXXY', 'XXGYX', 'GGGGG']","[22, 1, 1]"
3,"['crane', 'sined', 'goner']","['XYXYY', 'XXGGX', 'GGGGG']","[27, 3, 3]"
4,"['crane', 'spilt', 'bevel', 'golem']","['XXXXY', 'XXXYX', 'XYXGY', 'GGGGG']","[127, 16, 1, 1]"
3,"['crane', 'slipt', 'lusty']","['XXXXX', 'YYXXY', 'GGGGG']","[263, 1, 1]"
3,"['crane', 'slipt', 'loopy']","['XXXXX', 'XYXGX', 'GGGGG']","[263, 4, 4]"
3,"['crane', 'burnt', 'round']","['XYXGX', 'XYYGX', 'GGGGG']","[4, 1, 1]"
4,"['crane', 'toils', 'admit', 'audit']","['XXYXX', 'YXYXX', 'GYXGG', 'GGGGG']","[134, 3, 1, 1]"
4,"['crane', 'gouts', 'dying', 'lying']","['XXXGX', 'YXXXX', 'XGGGG', 'GGGGG']","[58, 4, 2, 2]"
4,"['crane', 'toils', 'gaudy', 'gamma']","['XXYXX', 'XXXXX', 'GGXXX', 'GGGGG']","[134, 15, 1, 1]"
3,"['crane', 'parol', 'labor']","['XYYXX', 'XGYGY', 'GGGGG']","[65, 2, 2]"
3,"['crane', 'spilt', 'islet']","['XXXXY', 'YXYYG', 'GGGGG']","[127, 1, 1]"
3,"['crane', 'mouch', 'civic']","['GXXXX', 'XXXYX', 'GGGGG']","[25, 3, 3]"
3,"['crane', 'sprog', 'forge']","['XYXXG', 'XXGYY', 'GGGGG']","[40, 2, 2]"
2,"['crane', 'corny']","['GYXGX', 'GGGGG']","[1, 1]"
3,"['crane', 'slipt', 'moult']","['XXXXX', 'XYXXG', 'GGGGG']","[263, 1, 1]"
3,"['crane', 'moist', 'basic']","['YXYXX', 'XXYYX', 'GGGGG']","[27, 1, 1]"
4,"['crane', 'toils', 'palsy', 'salad']","['XXYXX', 'XXXYY', 'XGGYX', 'GGGGG']","[134, 5, 1, 1]"
4,"['crane', 'stulm', 'abate', 'agate']","['XXGXG', 'XYXXX', 'GXGGG', 'GGGGG']","[44, 3, 1, 1]"
4,"['crane', 'kutis', 'disco', 'spicy']","['YXXXX', 'XXXYY', 'XYYGX', 'GGGGG']","[55, 2, 1, 1]"
3,"['crane', 'parol', 'spray']","['XYYXX', 'YYGXX', 'GGGGG']","[65, 2, 2]"
4,"['crane', 'tepal', 'ahead', 'essay']","['XXYXY', 'XYXGX', 'YXYGX', 'GGGGG']","[46, 2, 1, 1]"
4,"['crane', 'shout', 'glory', 'fjord']","['XYXXX', 'XXGXX', 'XXGGX', 'GGGGG']","[90, 5, 1, 1]"
4,"['crane', 'eying', 'blend', 'spend']","['XXXGY', 'YXXGX', 'XXGGG', 'GGGGG']","[10, 3, 1, 1]"
3,"['crane', 'tepal', 'kebab']","['XXYXY', 'XGXGX', 'GGGGG']","[46, 1, 1]"
4,"['crane', 'slipt', 'build', 'guild']","['XXXXX', 'XYGXX', 'XGGGG', 'GGGGG']","[263, 3, 1, 1]"
3,"['crane', 'scald', 'aback']","['YXGXX', 'XYGXX', 'GGGGG']","[13, 3, 3]"
3,"['crane', 'shout', 'motor']","['XYXXX', 'XXYXY', 'GGGGG']","[90, 3, 3]"
2,"['crane', 'alone']","['XXYGG', 'GGGGG']","[2, 2]"
4,"['crane', 'moist', 'batch', 'hatch']","['YXYXX', 'XXXXY', 'XGGGG', 'GGGGG']","[27, 6, 4, 4]"
4,"['crane', 'rosit', 'dumpy', 'hyper']","['XYXXY', 'YXXXX', 'XXXYY', 'GGGGG']","[122, 27, 1, 1]"
3,"['crane', 'slipt', 'thumb']","['XXXXX', 'XXXXY', 'GGGGG']","[263, 12, 12]"
4,"['crane', 'shout', 'rowdy', 'dowry']","['XYXXX', 'XXYXX', 'YGGYG', 'GGGGG']","[90, 9, 1, 1]"
4,"['crane', 'slipt', 'doubt', 'ought']","['XXXXX', 'XXXXG', 'XYYXG', 'GGGGG']","[263, 2, 1, 1]"
2,"['crane', 'belch']","['YXXXY', 'GGGGG']","[20, 20]"
4,"['crane', 'kutis', 'butch', 'dutch']","['YXXXX', 'XGGXX', 'XGGGG', 'GGGGG']","[55, 3, 2, 2]"
