,steps,words,feedback,ncands
42,3,"['lores', 'sober', 'sower']","['XGYGY', 'GGXGG', 'GGGGG']","[3, 1, 1]"
43,3,"['lores', 'crepe', 'repay']","['XXYYX', 'XYYYY', 'GGGGG']","[111, 1, 1]"
44,4,"['lores', 'canny', 'tight', 'digit']","['XXXXX', 'XXXXX', 'YGGXG', 'GGGGG']","[215, 16, 1, 1]"
45,6,"['lores', 'crepe', 'crime', 'crane', 'craze', 'crate']","['XXYYX', 'GGYXG', 'GGXXG', 'GGGXG', 'GGGXG', 'GGGGG']","[111, 6, 5, 3, 2, 2]"
46,4,"['lores', 'allay', 'clink', 'cluck']","['YXXXX', 'XGYXX', 'GGXXG', 'GGGGG']","[130, 26, 1, 1]"
47,5,"['lores', 'sense', 'state', 'siege', 'spike']","['XXXYY', 'GYXYG', 'GXXXG', 'GYYXG', 'GGGGG']","[88, 22, 4, 2, 2]"
48,4,"['lores', 'canny', 'hitch', 'mimic']","['XXXXX', 'YXXXX', 'XGXYX', 'GGGGG']","[215, 12, 1, 1]"
49,7,"['lores', 'tooth', 'condo', 'found', 'bound', 'mound', 'pound']","['XGXXX', 'XGYXX', 'XGYYY', 'XGGGG', 'XGGGG', 'XGGGG', 'GGGGG']","[76, 28, 8, 4, 3, 2, 2]"
50,4,"['lores', 'canny', 'mamma', 'maxim']","['XXXXX', 'XGXXX', 'GGYYY', 'GGGGG']","[215, 12, 2, 2]"
51,4,"['lores', 'level', 'laden', 'linen']","['GXXGX', 'GYXGY', 'GXXGG', 'GGGGG']","[8, 4, 3, 3]"
52,4,"['lores', 'eaten', 'tenet', 'unmet']","['XXXGX', 'YXYGY', 'YYYGG', 'GGGGG']","[37, 2, 1, 1]"
53,3,"['lores', 'shell', 'flesh']","['YXXYY', 'YYGYY', 'GGGGG']","[25, 1, 1]"
54,5,"['lores', 'tooth', 'woody', 'goofy', 'booby']","['XGXXX', 'XGGXX', 'XGGXG', 'XGGXG', 'GGGGG']","[76, 7, 3, 2, 2]"
55,2,"['lores', 'forth']","['XGGXX', 'GGGGG']","[17, 17]"
56,3,"['lores', 'strap', 'first']","['XXGXY', 'YYGXX', 'GGGGG']","[18, 2, 2]"
57,4,"['lores', 'sassy', 'stank', 'stand']","['XXXXY', 'GYYYX', 'GGGGX', 'GGGGG']","[122, 24, 1, 1]"
58,3,"['lores', 'belle', 'belly']","['YXXYX', 'GGGGY', 'GGGGG']","[101, 1, 1]"
59,4,"['lores', 'brood', 'choir', 'ivory']","['XYYXX', 'XYGYX', 'XXGYY', 'GGGGG']","[78, 5, 1, 1]"
60,4,"['lores', 'sense', 'setup', 'seedy']","['XXXYY', 'GGXYY', 'GGXXX', 'GGGGG']","[88, 3, 1, 1]"
61,3,"['lores', 'trait', 'print']","['XXYXX', 'YGXYG', 'GGGGG']","[109, 2, 2]"
62,7,"['lores', 'crepe', 'rearm', 'heart', 'beard', 'weary', 'yearn']","['XXYYX', 'XYYXY', 'YGGGX', 'XGGGX', 'XGGGX', 'XGGGY', 'GGGGG']","[111, 22, 6, 3, 2, 1, 1]"
63,5,"['lores', 'trait', 'brain', 'grain', 'drain']","['XXYXX', 'XGGGX', 'XGGGG', 'XGGGG', 'GGGGG']","[109, 4, 2, 1, 1]"
64,6,"['lores', 'crepe', 'grate', 'drive', 'urine', 'bribe']","['XXYYX', 'XGYXG', 'XGXXG', 'XGGXG', 'XGGXG', 'GGGGG']","[111, 21, 5, 3, 1, 1]"
65,5,"['lores', 'shoot', 'scout', 'snout', 'stout']","['XYXXY', 'GXGYG', 'GXGGG', 'GXGGG', 'GGGGG']","[37, 4, 3, 2, 2]"
66,4,"['lores', 'level', 'expel', 'panel']","['YXXGX', 'YYXGG', 'YXYGG', 'GGGGG']","[29, 11, 1, 1]"
67,4,"['lores', 'grass', 'brass', 'crass']","['XXYXG', 'XGGGG', 'XGGGG', 'GGGGG']","[4, 2, 1, 1]"
68,5,"['lores', 'belle', 'elate', 'plume', 'flume']","['YXXYX', 'XYYYG', 'YGXXG', 'XGGGG', 'GGGGG']","[101, 19, 4, 1, 1]"
69,3,"['lores', 'aloof', 'offal']","['YYXXX', 'YYYYY', 'GGGGG']","[39, 1, 1]"
70,3,"['lores', 'three', 'agree']","['XXGGX', 'XXGGG', 'GGGGG']","[10, 2, 2]"
71,2,"['lores', 'error']","['XYGYX', 'GGGGG']","[2, 2]"
72,2,"['lores', 'swirl']","['YXYXY', 'GGGGG']","[3, 3]"
73,4,"['lores', 'crepe', 'grate', 'argue']","['XXYYX', 'XGYXG', 'YGYXG', 'GGGGG']","[111, 21, 1, 1]"
74,4,"['lores', 'level', 'fleet', 'bleed']","['YXXGX', 'YYXGY', 'XGGGX', 'GGGGG']","[29, 10, 2, 2]"
75,3,"['lores', 'belle', 'delta']","['YXXYX', 'XGGYY', 'GGGGG']","[101, 4, 4]"
76,4,"['lores', 'allay', 'clink', 'flick']","['YXXXX', 'XGYXX', 'YGGXG', 'GGGGG']","[130, 26, 1, 1]"
77,4,"['lores', 'coven', 'modem', 'totem']","['XGXGX', 'XGXGX', 'YGXGG', 'GGGGG']","[16, 4, 1, 1]"
78,3,"['lores', 'rower', 'wooer']","['XGYGX', 'YGYGG', 'GGGGG']","[19, 1, 1]"
79,4,"['lores', 'brood', 'grown', 'front']","['XYYXX', 'XGGYX', 'XGGXY', 'GGGGG']","[78, 20, 3, 3]"
80,3,"['lores', 'strap', 'shrub']","['XXGXY', 'GXGXX', 'GGGGG']","[18, 4, 4]"
81,5,"['lores', 'harry', 'carry', 'marry', 'parry']","['XXGXX', 'XGGGG', 'XGGGG', 'XGGGG', 'GGGGG']","[29, 3, 2, 1, 1]"
82,4,"['lores', 'ozone', 'above', 'biome']","['XYXYX', 'YXGXG', 'XYGXG', 'GGGGG']","[35, 9, 1, 1]"
83,4,"['lores', 'level', 'label', 'lapel']","['GXXGX', 'GYXGG', 'GGXGG', 'GGGGG']","[8, 3, 1, 1]"
84,2,"['lores', 'start']","['XXYXY', 'GGGGG']","[38, 38]"
85,5,"['lores', 'freer', 'green', 'greed', 'greet']","['XXYGX', 'XGGGY', 'GGGGX', 'GGGGX', 'GGGGG']","[93, 8, 2, 1, 1]"
86,8,"['lores', 'rower', 'cover', 'boxer', 'poker', 'homer', 'foyer', 'goner']","['XGYGX', 'YGXGG', 'XGXGG', 'XGXGG', 'XGXGG', 'XGXGG', 'XGXGG', 'GGGGG']","[19, 10, 6, 5, 3, 2, 1, 1]"
87,3,"['lores', 'novel', 'golem']","['YGXGX', 'XGXGY', 'GGGGG']","[10, 1, 1]"
88,2,"['lores', 'lusty']","['GXXXY', 'GGGGG']","[1, 1]"
89,6,"['lores', 'local', 'lobby', 'lofty', 'lowly', 'loopy']","['GGXXX', 'GGXXY', 'GGXXG', 'GGXXG', 'GGXYG', 'GGGGG']","[10, 5, 3, 2, 1, 1]"
90,3,"['lores', 'rotor', 'round']","['XGYXX', 'GGXYY', 'GGGGG']","[19, 7, 7]"
91,4,"['lores', 'canny', 'pizza', 'audit']","['XXXXX', 'XYXXX', 'XYXXY', 'GGGGG']","[215, 10, 5, 5]"
92,3,"['lores', 'lunch', 'lying']","['GXXXX', 'GXYXX', 'GGGGG']","[16, 1, 1]"
93,4,"['lores', 'canny', 'mamma', 'gamma']","['XXXXX', 'XGXXX', 'YGGGG', 'GGGGG']","[215, 12, 1, 1]"
94,2,"['lores', 'labor']","['GYYXX', 'GGGGG']","[1, 1]"
95,3,"['lores', 'steel', 'islet']","['YXXGY', 'YYYGY', 'GGGGG']","[7, 1, 1]"
96,3,"['lores', 'canny', 'civic']","['XXXXX', 'GXXXX', 'GGGGG']","[215, 5, 5]"
97,3,"['lores', 'force', 'forge']","['XGGYX', 'GGGXG', 'GGGGG']","[6, 2, 2]"
98,4,"['lores', 'forth', 'worry', 'corny']","['XGGXX', 'XGGXX', 'XGGYG', 'GGGGG']","[17, 5, 1, 1]"
99,4,"['lores', 'folly', 'would', 'moult']","['YGXXX', 'XGYGX', 'XGGGX', 'GGGGG']","[27, 5, 1, 1]"
100,4,"['lores', 'sassy', 'basin', 'basic']","['XXXXY', 'YGGYX', 'GGGGX', 'GGGGG']","[122, 3, 1, 1]"
101,4,"['lores', 'shall', 'salsa', 'salad']","['YXXXY', 'GXYYY', 'GGGYY', 'GGGGG']","[58, 4, 2, 2]"
102,4,"['lores', 'eerie', 'gauge', 'agate']","['XXXYX', 'YYXXG', 'YYXYG', 'GGGGG']","[163, 34, 2, 2]"
103,5,"['lores', 'sassy', 'study', 'spiny', 'spicy']","['XXXXY', 'GXYYG', 'GXXXG', 'GGGXG', 'GGGGG']","[122, 7, 4, 2, 2]"
104,3,"['lores', 'strap', 'spray']","['XXGXY', 'GXGGY', 'GGGGG']","[18, 1, 1]"
105,3,"['lores', 'sense', 'essay']","['XXXYY', 'YYXYY', 'GGGGG']","[88, 1, 1]"
106,3,"['lores', 'brood', 'fjord']","['XYYXX', 'XYGYG', 'GGGGG']","[78, 2, 2]"
107,4,"['lores', 'sense', 'spent', 'spend']","['XXXYY', 'GYYYY', 'GGGGX', 'GGGGG']","[88, 5, 1, 1]"
108,5,"['lores', 'eerie', 'teeth', 'began', 'kebab']","['XXXYX', 'YGXXY', 'XGYXX', 'YGXGX', 'GGGGG']","[163, 36, 10, 1, 1]"
109,5,"['lores', 'allay', 'quill', 'built', 'guild']","['YXXXX', 'XYYXX', 'XGGGY', 'XGGGX', 'GGGGG']","[130, 13, 4, 1, 1]"
110,4,"['lores', 'canny', 'attic', 'aback']","['XXXXX', 'YYXXX', 'GXXXY', 'GGGGG']","[215, 4, 1, 1]"
111,3,"['lores', 'rotor', 'motor']","['XGYXX', 'YGGGG', 'GGGGG']","[19, 1, 1]"
112,3,"['lores', 'elope', 'alone']","['YYXYX', 'YGGXG', 'GGGGG']","[16, 6, 6]"
113,6,"['lores', 'canny', 'match', 'watch', 'patch', 'hatch']","['XXXXX', 'YGXXX', 'XGGGG', 'XGGGG', 'XGGGG', 'GGGGG']","[215, 8, 4, 3, 2, 2]"
114,7,"['lores', 'freer', 'rarer', 'rider', 'enter', 'upper', 'hyper']","['XXYGX', 'XYYGG', 'YXYGG', 'YXXGG', 'YXXGG', 'XYGGG', 'GGGGG']","[93, 54, 28, 12, 4, 1, 1]"
115,4,"['lores', 'canny', 'tight', 'thumb']","['XXXXX', 'XXXXX', 'GXXYY', 'GGGGG']","[215, 16, 2, 2]"
116,4,"['lores', 'rotor', 'board', 'dowry']","['XGYXX', 'YGXYY', 'XGXGY', 'GGGGG']","[19, 6, 1, 1]"
117,4,"['lores', 'taboo', 'optic', 'ought']","['XYXXX', 'YXXYY', 'GXYXX', 'GGGGG']","[60, 3, 1, 1]"
118,3,"['lores', 'belle', 'belch']","['YXXYX', 'GGGYY', 'GGGGG']","[101, 1, 1]"
119,4,"['lores', 'canny', 'hitch', 'dutch']","['XXXXX', 'YXXXX', 'YXGGG', 'GGGGG']","[215, 12, 2, 2]"
120,3,"['lores', 'aloof', 'pilot']","['YYXXX', 'XYYGX', 'GGGGG']","[39, 3, 3]"
121,4,"['lores', 'eaten', 'quiet', 'tweed']","['XXXGX', 'YXYGX', 'XXXGY', 'GGGGG']","[37, 7, 2, 2]"
122,3,"['lores', 'coven', 'comet']","['XGXGX', 'GGXGX', 'GGGGG']","[16, 1, 1]"
123,8,"['lores', 'canny', 'paint', 'haunt', 'gaunt', 'taunt', 'daunt', 'jaunt']","['XXXXX', 'XGYGX', 'XGXGG', 'XGGGG', 'XGGGG', 'YGGGG', 'XGGGG', 'GGGGG']","[215, 10, 6, 5, 4, 3, 2, 2]"
124,5,"['lores', 'eerie', 'event', 'enemy', 'enema']","['XXXYX', 'GYXXY', 'GXGYX', 'GGGGX', 'GGGGG']","[163, 7, 2, 1, 1]"
125,4,"['lores', 'sheet', 'steep', 'steed']","['XXXGY', 'GXGGY', 'GGGGX', 'GGGGG']","[20, 2, 1, 1]"
126,3,"['lores', 'basis', 'abyss']","['XXXXG', 'YYYXG', 'GGGGG']","[8, 1, 1]"
127,4,"['lores', 'drool', 'troll', 'growl']","['YYYXX', 'XGGYG', 'XGGYG', 'GGGGG']","[11, 4, 3, 3]"
128,6,"['lores', 'allay', 'clink', 'blind', 'flint', 'fling']","['YXXXX', 'XGYXX', 'XGGGX', 'XGGGX', 'GGGGX', 'GGGGG']","[130, 26, 4, 3, 1, 1]"
129,4,"['lores', 'coven', 'women', 'dozen']","['XGXGX', 'XGXGG', 'XGXGG', 'GGGGG']","[16, 4, 2, 2]"
130,6,"['lores', 'tooth', 'woody', 'goofy', 'booby', 'boozy']","['XGXXX', 'XGGXX', 'XGGXG', 'XGGXG', 'GGGYG', 'GGGGG']","[76, 7, 3, 2, 1, 1]"
131,2,"['lores', 'erode']","['XYYYX', 'GGGGG']","[24, 24]"
132,2,"['lores', 'world']","['YGGXX', 'GGGGG']","[3, 3]"
133,4,"['lores', 'movie', 'dodge', 'gouge']","['XGXYX', 'XGXXG', 'XGXGG', 'GGGGG']","[7, 4, 1, 1]"
134,4,"['lores', 'allay', 'clink', 'click']","['YXXXX', 'XGYXX', 'GGGXG', 'GGGGG']","[130, 26, 1, 1]"
135,4,"['lores', 'trait', 'friar', 'briar']","['XXYXX', 'XGYYX', 'XGGGG', 'GGGGG']","[109, 2, 1, 1]"
136,4,"['lores', 'crepe', 'tread', 'great']","['XXYYX', 'XGGXY', 'YGGGX', 'GGGGG']","[111, 11, 1, 1]"
137,5,"['lores', 'frill', 'ralph', 'ultra', 'altar']","['YXYXX', 'XYXYY', 'YYYXX', 'XGGYY', 'GGGGG']","[27, 6, 3, 1, 1]"
138,5,"['lores', 'allay', 'filly', 'bulky', 'pulpy']","['YXXXX', 'XYGXG', 'XXGYG', 'XGGXG', 'GGGGG']","[130, 13, 2, 1, 1]"
139,5,"['lores', 'frill', 'ralph', 'blurb', 'blurt']","['YXYXX', 'XYXYY', 'YXYXX', 'GGGGY', 'GGGGG']","[27, 6, 2, 1, 1]"
140,3,"['lores', 'boost', 'coast']","['XGXXY', 'XGYGG', 'GGGGG']","[21, 7, 7]"
141,3,"['lores', 'canny', 'duchy']","['XXXXX', 'YXXXG', 'GGGGG']","[215, 5, 5]"
142,4,"['lores', 'brood', 'grown', 'groin']","['XYYXX', 'XGGYX', 'GGGXG', 'GGGGG']","[78, 20, 2, 2]"
143,6,"['lores', 'freer', 'fever', 'fiber', 'finer', 'fixer']","['XXYGX', 'GYYGG', 'GYXGG', 'GGXGG', 'GGXGG', 'GGGGG']","[93, 5, 3, 2, 1, 1]"
144,4,"['lores', 'brood', 'grown', 'group']","['XYYXX', 'XGGYX', 'GGGXX', 'GGGGG']","[78, 20, 2, 2]"
145,3,"['lores', 'route', 'rogue']","['XGYYX', 'GGYXG', 'GGGGG']","[3, 1, 1]"
146,4,"['lores', 'allay', 'daily', 'badly']","['YXXXX', 'YYYYG', 'YGXGG', 'GGGGG']","[130, 6, 2, 2]"
