,steps,words,feedback,ncands
44,4,"['reais', 'civic', 'limit', 'digit']","['XXXGX', 'XGXGX', 'XGXGG', 'GGGGG']","[40, 5, 1, 1]"
45,5,"['reais', 'grace', 'crane', 'craze', 'crate']","['YYGXX', 'XGGYG', 'GGGXG', 'GGGXG', 'GGGGG']","[22, 4, 3, 2, 2]"
46,3,"['reais', 'booty', 'cluck']","['XXXXX', 'XXXXX', 'GGGGG']","[168, 19, 19]"
47,3,"['reais', 'spine', 'spike']","['XYXYY', 'GGGXG', 'GGGGG']","[28, 3, 3]"
48,3,"['reais', 'civic', 'mimic']","['XXXGX', 'YGXGG', 'GGGGG']","[40, 1, 1]"
49,6,"['reais', 'booty', 'couch', 'found', 'mound', 'pound']","['XXXXX', 'XGYXX', 'XGGXX', 'XGGGG', 'XGGGG', 'GGGGG']","[168, 16, 5, 3, 2, 2]"
50,4,"['reais', 'mania', 'magic', 'maxim']","['XXYGX', 'GGXGY', 'GGXGX', 'GGGGG']","[24, 2, 1, 1]"
51,4,"['reais', 'niece', 'given', 'linen']","['XYXYX', 'YGYXY', 'XGXGG', 'GGGGG']","[74, 6, 3, 3]"
52,4,"['reais', 'emcee', 'women', 'unmet']","['XYXXX', 'YYXGY', 'XXGGY', 'GGGGG']","[121, 10, 1, 1]"
53,3,"['reais', 'sheet', 'flesh']","['XYXXY', 'YYGYX', 'GGGGG']","[67, 1, 1]"
54,3,"['reais', 'booty', 'booby']","['XXXXX', 'GGGXG', 'GGGGG']","[168, 2, 2]"
55,5,"['reais', 'error', 'worry', 'north', 'forth']","['YXXXX', 'XYGYY', 'XGGYX', 'XGGGG', 'GGGGG']","[103, 16, 7, 1, 1]"
56,3,"['reais', 'frisk', 'first']","['YXXYY', 'GYYGX', 'GGGGG']","[12, 1, 1]"
57,4,"['reais', 'slash', 'stank', 'stand']","['XXGXY', 'GXGYX', 'GGGGX', 'GGGGG']","[50, 14, 1, 1]"
58,4,"['reais', 'melee', 'below', 'belly']","['XGXXX', 'XGGYY', 'GGGXX', 'GGGGG']","[61, 8, 2, 2]"
59,3,"['reais', 'prior', 'ivory']","['YXXYX', 'XYYYY', 'GGGGG']","[41, 3, 3]"
60,4,"['reais', 'sense', 'setup', 'seedy']","['XGXXY', 'GGXYY', 'GGXXX', 'GGGGG']","[15, 2, 1, 1]"
61,3,"['reais', 'prior', 'print']","['YXXYX', 'GGGXY', 'GGGGG']","[41, 3, 3]"
62,6,"['reais', 'heart', 'pearl', 'beard', 'weary', 'yearn']","['YGGXX', 'XGGGX', 'XGGGX', 'XGGGX', 'XGGGY', 'GGGGG']","[8, 5, 3, 2, 1, 1]"
63,5,"['reais', 'train', 'brain', 'grain', 'drain']","['YXGGX', 'XGGGG', 'XGGGG', 'XGGGG', 'GGGGG']","[11, 3, 2, 1, 1]"
64,7,"['reais', 'drier', 'trite', 'prize', 'crime', 'urine', 'bribe']","['YYXYX', 'XGGYY', 'XGGXG', 'XGGXG', 'XGGXG', 'XGGXG', 'GGGGG']","[53, 14, 9, 5, 3, 1, 1]"
65,6,"['reais', 'slosh', 'stoop', 'stock', 'stony', 'stout']","['XXXXY', 'GXGYX', 'GGGYX', 'GGGXX', 'GGGXX', 'GGGGG']","[89, 21, 3, 2, 1, 1]"
66,4,"['reais', 'eagle', 'label', 'panel']","['XYYXX', 'YGXYY', 'YGXGG', 'GGGGG']","[90, 8, 4, 4]"
67,4,"['reais', 'grass', 'brass', 'crass']","['YXGXG', 'XGGGG', 'XGGGG', 'GGGGG']","[3, 2, 1, 1]"
