count,mean,std,min,25%,50%,75%,max,word1,word2,iter_2_or_less,iter_3,iter_4,iter_5,iter_6,fail
2315.0,4.193088552915767,1.0333023097270455,3.0,4.0,4.0,5.0,10.0,tares,indol,0.0,0.24838012958963282,0.4479481641468683,0.2125269978401728,0.061339092872570194,0.029805615550755938
2315.0,4.222462203023758,1.0834721159466991,3.0,3.0,4.0,5.0,10.0,tares,noily,0.0,0.25442764578833693,0.4319654427645788,0.20647948164146868,0.0695464362850972,0.03758099352051836
2315.0,4.15377969762419,1.0463036199824156,3.0,3.0,4.0,5.0,10.0,tares,colin,0.0,0.28034557235421165,0.4241900647948164,0.20086393088552915,0.06565874730021598,0.028941684665226782
2315.0,4.28207343412527,1.08713027025745,3.0,4.0,4.0,5.0,11.0,tares,oculi,0.0,0.21900647948164148,0.44578833693304537,0.23369330453563714,0.0630669546436285,0.03844492440604751
2315.0,4.202159827213823,1.05291897859302,2.0,3.0,4.0,5.0,10.0,tares,login,0.00043196544276457883,0.2570194384449244,0.43110151187904966,0.21123110151187904,0.06609071274298056,0.03412526997840173
2315.0,4.179697624190065,1.0626945474106515,3.0,3.0,4.0,5.0,10.0,tares,chino,0.0,0.2790496760259179,0.40691144708423327,0.21555075593952483,0.06825053995680345,0.03023758099352052
2315.0,4.215982721382289,1.0468722479799886,3.0,4.0,4.0,5.0,10.0,rates,indol,0.0,0.241036717062635,0.4470842332613391,0.216414686825054,0.0652267818574514,0.03023758099352052
2315.0,4.2496760259179265,1.0975905207203602,3.0,4.0,4.0,5.0,10.0,rates,noily,0.0,0.24406047516198703,0.43412526997840173,0.21166306695464362,0.0695464362850972,0.04060475161987041
2315.0,4.174082073434125,1.0495183330351419,3.0,3.0,4.0,5.0,10.0,rates,colin,0.0,0.26997840172786175,0.4289416846652268,0.20259179265658747,0.06997840172786177,0.028509719222462204
2315.0,4.314038876889849,1.0882998675789117,3.0,4.0,4.0,5.0,11.0,rates,oculi,0.0,0.20647948164146868,0.4431965442764579,0.24751619870410368,0.061771058315334776,0.04103671706263499
2315.0,4.228077753779697,1.0684391450010708,2.0,4.0,4.0,5.0,10.0,rates,login,0.00043196544276457883,0.24578833693304536,0.43974082073434123,0.20691144708423326,0.06997840172786177,0.037149028077753776
2315.0,4.138228941684665,1.0805434823393132,1.0,3.0,4.0,5.0,10.0,snare,doilt,0.00043196544276457883,0.29330453563714903,0.4220302375809935,0.1900647948164147,0.0591792656587473,0.03498920086393088
2315.0,4.197840172786177,1.0935872636536765,1.0,3.0,4.0,5.0,10.0,snare,lotic,0.00043196544276457883,0.27041036717062633,0.41511879049676026,0.21814254859611232,0.057883369330453564,0.03801295896328294
2315.0,4.158099352051836,1.0717830677505393,1.0,3.0,4.0,5.0,10.0,snare,pilot,0.0008639308855291577,0.27473002159827214,0.43844492440604754,0.19222462203023757,0.05701943844492441,0.0367170626349892
2315.0,4.165874730021598,1.0846425600188332,1.0,3.0,4.0,5.0,10.0,snare,thiol,0.00043196544276457883,0.28682505399568037,0.41079913606911445,0.20475161987041038,0.06047516198704104,0.0367170626349892
2315.0,4.335205183585313,1.1378383988627134,1.0,4.0,4.0,5.0,11.0,snare,oculi,0.00043196544276457883,0.2159827213822894,0.4272138228941685,0.23498920086393088,0.07688984881209503,0.04449244060475162
