count,mean,std,min,25%,50%,75%,max,word,iter_2_or_less,iter_3,iter_4,iter_5,iter_6,fail
2315.0,4.379697624190065,1.1654871614030673,2.0,4.0,4.0,5.0,12.0,cares,0.01900647948164147,0.18142548596112312,0.40734341252699785,0.2578833693304536,0.09114470842332613,0.04319654427645788
2315.0,4.420734341252699,1.1477317361319348,2.0,4.0,4.0,5.0,12.0,bares,0.017278617710583154,0.17105831533477323,0.3956803455723542,0.27473002159827214,0.09546436285097193,0.045788336933045355
2315.0,4.348596112311015,1.0869070199791369,2.0,4.0,4.0,5.0,11.0,pares,0.016414686825053995,0.1857451403887689,0.39913606911447086,0.2786177105831533,0.0876889848812095,0.032397408207343416
2315.0,4.310583153347732,1.1198088167065077,2.0,4.0,4.0,5.0,11.0,tares,0.018574514038876888,0.20259179265658747,0.4064794816414687,0.2501079913606911,0.08552915766738661,0.0367170626349892
2315.0,4.3542116630669545,1.153617143388518,2.0,4.0,4.0,5.0,12.0,cores,0.020302375809935207,0.18488120950323975,0.41252699784017277,0.25356371490280777,0.0859611231101512,0.042764578833693306
2315.0,4.4146868250539955,1.1484273279354342,2.0,4.0,4.0,5.0,12.0,bores,0.01511879049676026,0.175377969762419,0.3978401727861771,0.27473002159827214,0.08941684665226782,0.047516198704103674
2315.0,4.4116630669546435,1.0989672800516703,2.0,4.0,4.0,5.0,12.0,mares,0.012526997840172787,0.17019438444924406,0.4038876889848812,0.2751619870410367,0.1002159827213823,0.03801295896328294
2315.0,4.3719222462203025,1.1211749428071947,2.0,4.0,4.0,5.0,11.0,pores,0.01814254859611231,0.17926565874730022,0.4043196544276458,0.2691144708423326,0.0876889848812095,0.04146868250539957
2315.0,4.359827213822894,1.1193404518086292,2.0,4.0,4.0,5.0,11.0,canes,0.01511879049676026,0.18012958963282938,0.4185745140388769,0.2682505399568035,0.07775377969762419,0.04017278617710583
2315.0,4.378833693304536,1.1180847873055602,2.0,4.0,4.0,5.0,11.0,dares,0.012958963282937365,0.18099352051835854,0.41252699784017277,0.2634989200863931,0.09028077753779698,0.03974082073434125
2315.0,4.320950323974082,1.1222842779600262,2.0,4.0,4.0,5.0,11.0,notes,0.017710583153347732,0.19697624190064794,0.4086393088552916,0.2626349892008639,0.07300215982721382,0.04103671706263499
2315.0,4.445356371490281,1.149543816362028,1.0,4.0,4.0,5.0,12.0,resin,0.015982721382289417,0.1654427645788337,0.3896328293736501,0.2833693304535637,0.10107991360691145,0.04449244060475162
2315.0,4.406911447084234,1.1823188576233963,2.0,4.0,4.0,5.0,12.0,senor,0.017710583153347732,0.18012958963282938,0.4012958963282937,0.25874730021598275,0.09071274298056156,0.05140388768898488
