count,mean,std,min,25%,50%,75%,max,word,iter_2_or_less,iter_3,iter_4,iter_5,iter_6,fail
2315.0,5.024190064794817,1.4511113013148216,2.0,4.0,5.0,6.0,12.0,cares,0.01079913606911447,0.10107991360691145,0.27991360691144707,0.29546436285097194,0.18444924406047516,0.12829373650107992
2315.0,5.075161987041037,1.420756401681542,2.0,4.0,5.0,6.0,13.0,bares,0.008207343412526998,0.09632829373650108,0.2570194384449244,0.31101511879049676,0.2004319654427646,0.12699784017278617
2315.0,4.974946004319654,1.384652708697671,2.0,4.0,5.0,6.0,12.0,pares,0.010367170626349892,0.09848812095032397,0.28466522678185746,0.3144708423326134,0.17667386609071276,0.11533477321814255
2315.0,4.9771058315334775,1.4074420377004153,2.0,4.0,5.0,6.0,12.0,tares,0.01079913606911447,0.10237580993520519,0.29071274298056154,0.3019438444924406,0.16630669546436286,0.12786177105831534
2315.0,5.01036717062635,1.4390154351512947,2.0,4.0,5.0,6.0,12.0,cores,0.01468682505399568,0.09892008639308855,0.28509719222462204,0.28250539956803455,0.1913606911447084,0.12742980561555076
2315.0,5.054427645788337,1.4189637527599994,2.0,4.0,5.0,6.0,12.0,bores,0.009503239740820735,0.0958963282937365,0.27429805615550756,0.2976241900647948,0.18660907127429804,0.13606911447084233
2315.0,5.043196544276458,1.3707148747093556,2.0,4.0,5.0,6.0,12.0,mares,0.00734341252699784,0.08941684665226782,0.2755939524838013,0.31663066954643626,0.18401727861771058,0.12699784017278617
2315.0,5.010799136069115,1.4155467838682985,2.0,4.0,5.0,6.0,11.0,pores,0.013390928725701945,0.09676025917926566,0.2790496760259179,0.3019438444924406,0.17926565874730022,0.12958963282937366
2315.0,4.979697624190065,1.4028686791102023,2.0,4.0,5.0,6.0,12.0,canes,0.008207343412526998,0.1041036717062635,0.2889848812095032,0.3023758099352052,0.18012958963282938,0.11619870410367171
2315.0,5.006047516198704,1.3669634845193053,2.0,4.0,5.0,6.0,12.0,dares,0.00734341252699784,0.09287257019438445,0.28207343412527,0.3226781857451404,0.1758099352051836,0.11922246220302375
2315.0,4.964578833693304,1.3987115110895734,2.0,4.0,5.0,6.0,12.0,notes,0.014254859611231102,0.09848812095032397,0.28682505399568037,0.31317494600431967,0.16457883369330453,0.12267818574514039
2315.0,5.114902807775378,1.4804160708822507,1.0,4.0,5.0,6.0,13.0,resin,0.009935205183585313,0.09071274298056156,0.2609071274298056,0.3075593952483801,0.1861771058315335,0.1447084233261339
2315.0,5.052699784017278,1.4586745600240474,2.0,4.0,5.0,6.0,12.0,senor,0.009935205183585313,0.09978401727861771,0.26868250539956806,0.3118790496760259,0.1714902807775378,0.13822894168466524
