,steps,words,feedback,ncands
48,4,"['tales', 'irony', 'quick', 'mimic']","['XXXXX', 'YXXXX', 'XXYYX', 'GGGGG']","[221, 10, 2, 2]"
49,3,"['tales', 'irony', 'pound']","['XXXXX', 'XXYGX', 'GGGGG']","[221, 6, 6]"
50,3,"['tales', 'carny', 'maxim']","['XGXXX', 'XGXXX', 'GGGGG']","[82, 9, 9]"
51,4,"['tales', 'oriel', 'liken', 'linen']","['XXYGX', 'XXYGY', 'GGXGG', 'GGGGG']","[43, 2, 1, 1]"
52,3,"['tales', 'outer', 'unmet']","['YXXGX', 'XYYGX', 'GGGGG']","[22, 1, 1]"
53,3,"['tales', 'smile', 'flesh']","['XXYYY', 'YXXYY', 'GGGGG']","[14, 1, 1]"
54,5,"['tales', 'irony', 'goody', 'boozy', 'booby']","['XXXXX', 'XXGXG', 'XGGXG', 'GGGXG', 'GGGGG']","[221, 7, 3, 1, 1]"
55,3,"['tales', 'nitro', 'forth']","['YXXXX', 'XXYYY', 'GGGGG']","[87, 7, 7]"
56,3,"['tales', 'torus', 'first']","['YXXXY', 'YXGXY', 'GGGGG']","[67, 2, 2]"
57,3,"['tales', 'starn', 'stand']","['YYXXY', 'GGGXY', 'GGGGG']","[26, 2, 2]"
58,4,"['tales', 'belch', 'below', 'belly']","['XXGYX', 'GGGXX', 'GGGXX', 'GGGGG']","[16, 4, 3, 3]"
59,3,"['tales', 'irony', 'ivory']","['XXXXX', 'GYGXG', 'GGGGG']","[221, 1, 1]"
60,4,"['tales', 'osier', 'spend', 'seedy']","['XXXYY', 'XYXYX', 'GXGXY', 'GGGGG']","[69, 10, 1, 1]"
61,3,"['tales', 'nitro', 'print']","['YXXXX', 'YYYYX', 'GGGGG']","[87, 1, 1]"
62,4,"['tales', 'acred', 'break', 'yearn']","['XYXYX', 'YXYYX', 'XYYYX', 'GGGGG']","[83, 17, 3, 3]"
63,3,"['tales', 'noria', 'drain']","['XYXXX', 'YXYGY', 'GGGGG']","[102, 3, 3]"
64,5,"['tales', 'irone', 'pride', 'grime', 'bribe']","['XXXYX', 'YGXXG', 'XGGXG', 'XGGXG', 'GGGGG']","[165, 10, 3, 1, 1]"
65,7,"['tales', 'torus', 'snout', 'spout', 'shout', 'scout', 'stout']","['YXXXY', 'YYXGY', 'GXGGG', 'GXGGG', 'GXGGG', 'GXGGG', 'GGGGG']","[67, 5, 4, 3, 2, 1, 1]"
66,2,"['tales', 'panel']","['XGYGX', 'GGGGG']","[11, 11]"
67,2,"['tales', 'crass']","['XYXXG', 'GGGGG']","[7, 7]"
68,4,"['tales', 'oiled', 'uncle', 'flume']","['XXYYX', 'XXYYX', 'YXXYG', 'GGGGG']","[49, 18, 3, 3]"
69,4,"['tales', 'aloin', 'coral', 'offal']","['XYYXX', 'YYYXX', 'XYXGG', 'GGGGG']","[67, 11, 1, 1]"
70,3,"['tales', 'anger', 'agree']","['XYXGX', 'GXYGY', 'GGGGG']","[7, 1, 1]"
