,steps,words,feedback,ncands
47,3,"['lores', 'nates', 'spike']","['XXXYY', 'XXXYY', 'GGGGG']","[88, 13, 13]"
48,4,"['lores', 'actin', 'pubic', 'mimic']","['XXXXX', 'XYXGX', 'XXXGG', 'GGGGG']","[215, 4, 2, 2]"
49,3,"['lores', 'donut', 'pound']","['XGXXX', 'YGYYX', 'GGGGG']","[76, 6, 6]"
50,3,"['lores', 'actin', 'maxim']","['XXXXX', 'YXXGX', 'GGGGG']","[215, 3, 3]"
51,4,"['lores', 'laden', 'liken', 'linen']","['GXXGX', 'GXXGG', 'GGXGG', 'GGGGG']","[8, 3, 1, 1]"
52,3,"['lores', 'tenia', 'unmet']","['XXXGX', 'YYYXX', 'GGGGG']","[37, 1, 1]"
53,4,"['lores', 'tesla', 'slide', 'flesh']","['YXXYY', 'XYYYX', 'YGXXY', 'GGGGG']","[25, 5, 1, 1]"
54,5,"['lores', 'donut', 'comfy', 'boozy', 'booby']","['XGXXX', 'XGXXX', 'XGXXG', 'GGGXG', 'GGGGG']","[76, 16, 6, 1, 1]"
55,2,"['lores', 'forth']","['XGGXX', 'GGGGG']","[17, 17]"
56,3,"['lores', 'strap', 'first']","['XXGXY', 'YYGXX', 'GGGGG']","[18, 2, 2]"
57,4,"['lores', 'aitus', 'nasty', 'stand']","['XXXXY', 'YXYXY', 'YYYYX', 'GGGGG']","[122, 14, 3, 3]"
58,4,"['lores', 'telia', 'belch', 'belly']","['YXXYX', 'XGGXX', 'GGGXX', 'GGGGG']","[101, 6, 2, 2]"
59,5,"['lores', 'noria', 'primo', 'vigor', 'ivory']","['XYYXX', 'XYYYX', 'XYYXY', 'YYXYY', 'GGGGG']","[78, 6, 3, 1, 1]"
60,4,"['lores', 'nates', 'spike', 'seedy']","['XXXYY', 'XXXYY', 'GXXXY', 'GGGGG']","[88, 13, 1, 1]"
61,3,"['lores', 'train', 'print']","['XXYXX', 'YGXYY', 'GGGGG']","[109, 1, 1]"
62,4,"['lores', 'terai', 'ready', 'yearn']","['XXYYX', 'XGYYX', 'YGGXY', 'GGGGG']","[111, 8, 1, 1]"
63,3,"['lores', 'train', 'drain']","['XXYXX', 'XGGGG', 'GGGGG']","[109, 3, 3]"
64,5,"['lores', 'terai', 'pride', 'brine', 'bribe']","['XXYYX', 'XYYXY', 'XGGXG', 'GGGXG', 'GGGGG']","[111, 15, 5, 1, 1]"
65,5,"['lores', 'ponts', 'scout', 'shout', 'stout']","['XYXXY', 'XYXYY', 'GXGGG', 'GXGGG', 'GGGGG']","[37, 9, 2, 1, 1]"
66,3,"['lores', 'plane', 'panel']","['YXXGX', 'GYYYY', 'GGGGG']","[29, 1, 1]"
67,2,"['lores', 'crass']","['XXYXG', 'GGGGG']","[4, 4]"
68,3,"['lores', 'telia', 'flume']","['YXXYX', 'XYYXX', 'GGGGG']","[101, 13, 13]"
69,3,"['lores', 'flota', 'offal']","['YYXXX', 'YYYXY', 'GGGGG']","[39, 1, 1]"
70,4,"['lores', 'threw', 'parer', 'agree']","['XXGGX', 'XXGGX', 'XYGGY', 'GGGGG']","[10, 5, 1, 1]"
71,3,"['lores', 'heron', 'error']","['XYGYX', 'XYGGX', 'GGGGG']","[2, 1, 1]"
72,2,"['lores', 'swirl']","['YXYXY', 'GGGGG']","[3, 3]"
73,4,"['lores', 'terai', 'grace', 'argue']","['XXYYX', 'XYYYX', 'YGYXG', 'GGGGG']","[111, 19, 1, 1]"
74,4,"['lores', 'plane', 'clued', 'bleed']","['YXXGX', 'XGXXY', 'XGXGG', 'GGGGG']","[29, 3, 1, 1]"
75,3,"['lores', 'telia', 'delta']","['YXXYX', 'YGGXG', 'GGGGG']","[101, 1, 1]"
76,3,"['lores', 'inula', 'flick']","['YXXXX', 'YXXYX', 'GGGGG']","[130, 11, 11]"
77,4,"['lores', 'money', 'comet', 'totem']","['XGXGX', 'YGXGX', 'XGYGY', 'GGGGG']","[16, 2, 1, 1]"
78,3,"['lores', 'mower', 'wooer']","['XGYGX', 'XGYGG', 'GGGGG']","[19, 1, 1]"
79,4,"['lores', 'noria', 'frown', 'front']","['XYYXX', 'YYYXX', 'GGGXY', 'GGGGG']","[78, 11, 2, 2]"
80,3,"['lores', 'strap', 'shrub']","['XXGXY', 'GXGXX', 'GGGGG']","[18, 4, 4]"
81,4,"['lores', 'rhyta', 'marry', 'parry']","['XXGXX', 'YXYXY', 'XGGGG', 'GGGGG']","[29, 4, 2, 2]"
