,steps,words,feedback,ncands
49,4,"['tores', 'godly', 'mound', 'pound']","['XGXXX', 'XGYXX', 'XGGGG', 'GGGGG']","[79, 8, 5, 5]"
50,4,"['tores', 'layin', 'magic', 'maxim']","['XXXXX', 'XGXGX', 'GGXGX', 'GGGGG']","[246, 4, 2, 2]"
51,4,"['tores', 'aline', 'liken', 'linen']","['XXXGX', 'XYYYY', 'GGXGG', 'GGGGG']","[55, 2, 1, 1]"
52,4,"['tores', 'valet', 'quiet', 'unmet']","['YXXGX', 'XXXGG', 'XYXGG', 'GGGGG']","[13, 3, 1, 1]"
53,3,"['tores', 'aisle', 'flesh']","['XXXYY', 'XXYYY', 'GGGGG']","[72, 2, 2]"
54,4,"['tores', 'godly', 'boozy', 'booby']","['XGXXX', 'XGXXG', 'GGGXG', 'GGGGG']","[79, 8, 1, 1]"
55,2,"['tores', 'forth']","['YGGXX', 'GGGGG']","[5, 5]"
56,3,"['tores', 'strap', 'first']","['YXGXY', 'YYGXX', 'GGGGG']","[7, 2, 2]"
57,3,"['tores', 'stain', 'stand']","['YXXXY', 'GGGXY', 'GGGGG']","[58, 2, 2]"
58,4,"['tores', 'liane', 'welch', 'belly']","['XXXYX', 'YXXXY', 'XGGXX', 'GGGGG']","[196, 9, 2, 2]"
59,3,"['tores', 'andro', 'ivory']","['XYYXX', 'XXXGY', 'GGGGG']","[74, 2, 2]"
60,4,"['tores', 'aisle', 'spend', 'seedy']","['XXXYY', 'XXYXY', 'GXGXY', 'GGGGG']","[72, 3, 1, 1]"
61,3,"['tores', 'afrit', 'print']","['YXYXX', 'XXYYG', 'GGGGG']","[21, 2, 2]"
62,5,"['tores', 'acred', 'blaer', 'grave', 'yearn']","['XXYYX', 'YXYYX', 'XXGYY', 'XYGXY', 'GGGGG']","[93, 27, 7, 3, 3]"
63,3,"['tores', 'dinar', 'drain']","['XXYXX', 'GYYYY', 'GGGGG']","[97, 1, 1]"
64,5,"['tores', 'acred', 'urine', 'gripe', 'bribe']","['XXYYX', 'XXYYX', 'XGGXG', 'XGGXG', 'GGGGG']","[93, 22, 5, 1, 1]"
65,6,"['tores', 'scout', 'snout', 'spout', 'shout', 'stout']","['YYXXY', 'GXGGG', 'GXGGG', 'GXGGG', 'GXGGG', 'GGGGG']","[17, 4, 3, 2, 1, 1]"
66,3,"['tores', 'aline', 'panel']","['XXXGX', 'YYXYY', 'GGGGG']","[55, 3, 3]"
67,2,"['tores', 'crass']","['XXYXG', 'GGGGG']","[3, 3]"
